id,pubdate,byline,gender_by_pronoun,gender_by_byline
100322,Thu, 08 Oct 2009 21:57:33 +0000,Amira Al Hussaini,Unknown,Female
100324,Thu, 08 Oct 2009 21:58:27 +0000,Amira Al Hussaini,Unknown,Female
100327,Fri, 09 Oct 2009 08:36:24 +0000,Marwa Rakha,Neutral,Female
100334,Fri, 09 Oct 2009 05:22:36 +0000,Fred Petrossian,Unknown,Male
100336,Fri, 09 Oct 2009 05:27:41 +0000,Fred Petrossian,Male,Male
100358,Fri, 09 Oct 2009 09:27:16 +0000,Riyadh Al Balushi,Neutral,Unknown
100410,Fri, 09 Oct 2009 21:38:51 +0000,Tarek Amr,Neutral,Male
10043,Mon, 08 May 2006 15:58:09 +0000,Haitham Sabbah,Neutral,Male
10055,Wed, 10 May 2006 17:17:21 +0000,Farah Kinani,Neutral,Female
100636,Sat, 17 Oct 2009 11:25:08 +0000,Ayesha Saldanha,Neutral,Female
10067,Mon, 08 May 2006 20:48:22 +0000,Salam Adil,Male,Male
100725,Sat, 10 Oct 2009 20:47:00 +0000,Amira Al Hussaini,Neutral,Female
100736,Sat, 10 Oct 2009 21:13:38 +0000,Amira Al Hussaini,Male,Female
100738,Sat, 10 Oct 2009 21:14:25 +0000,Amira Al Hussaini,Unknown,Female
100740,Sat, 10 Oct 2009 21:15:19 +0000,Amira Al Hussaini,Male,Female
100742,Sat, 10 Oct 2009 21:16:17 +0000,Amira Al Hussaini,Unknown,Female
100744,Sat, 10 Oct 2009 21:17:32 +0000,Amira Al Hussaini,Unknown,Female
100746,Sat, 10 Oct 2009 21:19:01 +0000,Amira Al Hussaini,Unknown,Female
100758,Sat, 10 Oct 2009 23:39:40 +0000,Veronica Khokhlova,Unknown,Female
100846,Sun, 11 Oct 2009 19:59:11 +0000,Riyadh Al Balushi,Unknown,Unknown
10098,Tue, 09 May 2006 05:57:06 +0000,Fred Petrossian,Male,Male
101006,Mon, 02 Nov 2009 05:59:57 +0000,Layal Al Khatib,Neutral,Unknown
10104,Tue, 09 May 2006 18:13:39 +0000,Fred Petrossian,Neutral,Male
101049,Tue, 13 Oct 2009 20:04:40 +0000,Amira Al Hussaini,Female,Female
101062,Tue, 13 Oct 2009 20:54:23 +0000,Amira Al Hussaini,Unknown,Female
101065,Tue, 13 Oct 2009 20:55:52 +0000,Amira Al Hussaini,Unknown,Female
101071,Tue, 13 Oct 2009 20:57:33 +0000,Amira Al Hussaini,Unknown,Female
101075,Tue, 13 Oct 2009 20:59:17 +0000,Amira Al Hussaini,Unknown,Female
101079,Tue, 13 Oct 2009 21:00:27 +0000,Amira Al Hussaini,Unknown,Female
1011,Sat, 06 Aug 2005 18:18:22 +0000,Haitham Sabbah,Male,Male
10111,Tue, 09 May 2006 18:10:41 +0000,Fred Petrossian,Unknown,Male
10128,Tue, 09 May 2006 20:00:08 +0000,Rachel Rawlins,Neutral,Female
1013,Sat, 06 Aug 2005 18:51:41 +0000,Haitham Sabbah,Female,Male
1014,Sat, 06 Aug 2005 19:08:43 +0000,Haitham Sabbah,Unknown,Male
101420,Sat, 17 Oct 2009 15:37:21 +0000,Marwa Rakha,Neutral,Female
101466,Fri, 16 Oct 2009 09:40:43 +0000,Maya Norton,Neutral,Female
1015,Sat, 06 Aug 2005 19:26:35 +0000,Haitham Sabbah,Unknown,Male
101541,Fri, 16 Oct 2009 21:40:30 +0000,Anas Alaoui,Neutral,Male
101557,Fri, 16 Oct 2009 09:44:33 +0000,Maya Norton,Unknown,Female
101562,Fri, 16 Oct 2009 09:47:34 +0000,Maya Norton,Male,Female
101566,Fri, 16 Oct 2009 09:48:55 +0000,Maya Norton,Unknown,Female
101568,Fri, 16 Oct 2009 09:50:45 +0000,Maya Norton,Unknown,Female
101570,Fri, 16 Oct 2009 09:52:05 +0000,Maya Norton,Female,Female
101582,Fri, 16 Oct 2009 09:54:45 +0000,Maya Norton,Male,Female
101588,Fri, 16 Oct 2009 09:56:26 +0000,Maya Norton,Female,Female
1016,Sat, 06 Aug 2005 19:33:49 +0000,Haitham Sabbah,Male,Male
101646,Sat, 17 Oct 2009 16:25:01 +0000,Lina Ben Mhenni,Neutral,Female
101650,Wed, 30 Nov -0001 00:00:00 +0000,Lina Ben Mhenni,Neutral,Female
10168,Wed, 10 May 2006 09:33:49 +0000,Fred Petrossian,Male,Male
101680,Fri, 16 Oct 2009 21:23:50 +0000,Anas Alaoui,Unknown,Male
1017,Sat, 06 Aug 2005 19:55:36 +0000,Haitham Sabbah,Female,Male
101779,Thu, 29 Oct 2009 22:49:42 +0000,Marwa Rakha,Neutral,Female
1018,Sat, 06 Aug 2005 20:08:34 +0000,Haitham Sabbah,Neutral,Male
101892,Wed, 21 Oct 2009 21:12:29 +0000,Hisham Almiraat,Neutral,Male
1019,Sun, 07 Aug 2005 11:14:07 +0000,Haitham Sabbah,Neutral,Male
1020,Sun, 07 Aug 2005 11:26:56 +0000,Haitham Sabbah,Unknown,Male
1021,Sun, 07 Aug 2005 12:02:43 +0000,Haitham Sabbah,Unknown,Male
102180,Fri, 23 Oct 2009 04:35:24 +0000,Hisham Almiraat,Neutral,Male
1022,Sun, 07 Aug 2005 12:12:57 +0000,Haitham Sabbah,Unknown,Male
10221,Thu, 11 May 2006 09:12:32 +0000,Fred Petrossian,Unknown,Male
102216,Tue, 20 Oct 2009 20:12:34 +0000,Fred Petrossian,Unknown,Male
102223,Tue, 20 Oct 2009 20:20:23 +0000,Amira Al Hussaini,Neutral,Female
1023,Sun, 07 Aug 2005 12:43:46 +0000,Haitham Sabbah,Male,Male
10244,Thu, 11 May 2006 19:00:19 +0000,Fred Petrossian,Unknown,Male
102445,Thu, 22 Oct 2009 04:42:03 +0000,Amira Al Hussaini,Unknown,Female
102448,Thu, 22 Oct 2009 04:42:57 +0000,Amira Al Hussaini,Male,Female
102450,Thu, 22 Oct 2009 04:43:53 +0000,Amira Al Hussaini,Female,Female
102452,Thu, 22 Oct 2009 04:44:59 +0000,Amira Al Hussaini,Female,Female
102454,Thu, 22 Oct 2009 04:46:08 +0000,Amira Al Hussaini,Neutral,Female
102462,Thu, 22 Oct 2009 04:47:29 +0000,Amira Al Hussaini,Male,Female
10275,Fri, 12 May 2006 08:13:37 +0000,Fred Petrossian,Unknown,Male
10279,Fri, 12 May 2006 10:10:01 +0000,Fred Petrossian,Neutral,Male
102832,Sat, 24 Oct 2009 18:45:03 +0000,Anas Qtiesh,Unknown,Male
102838,Sun, 25 Oct 2009 20:33:38 +0000,Jillian C. York,Neutral,Female
102839,Mon, 26 Oct 2009 20:09:30 +0000,Anas Qtiesh,Neutral,Male
102877,Sat, 24 Oct 2009 18:53:16 +0000,Amira Al Hussaini,Unknown,Female
102881,Sat, 24 Oct 2009 18:54:52 +0000,Amira Al Hussaini,Unknown,Female
102900,Sat, 24 Oct 2009 23:00:46 +0000,Fred Petrossian,Unknown,Male
102902,Sat, 24 Oct 2009 23:11:51 +0000,Fred Petrossian,Unknown,Male
10291,Fri, 12 May 2006 11:55:53 +0000,Alice Backer,Unknown,Female
102911,Sun, 25 Oct 2009 06:04:02 +0000,Amira Al Hussaini,Neutral,Female
102913,Sun, 25 Oct 2009 06:05:26 +0000,Amira Al Hussaini,Unknown,Female
102915,Sun, 25 Oct 2009 06:06:31 +0000,Amira Al Hussaini,Unknown,Female
102917,Sun, 25 Oct 2009 06:07:43 +0000,Amira Al Hussaini,Unknown,Female
102919,Sun, 25 Oct 2009 06:08:33 +0000,Amira Al Hussaini,Female,Female
102981,Sun, 25 Oct 2009 15:12:36 +0000,Antoun Issa,Neutral,Male
103014,Tue, 27 Oct 2009 11:07:30 +0000,Ayesha Saldanha,Female,Female
10302,Fri, 12 May 2006 20:05:03 +0000,Haitham Sabbah,Male,Male
103024,Sun, 25 Oct 2009 19:51:18 +0000,Jillian C. York,Male,Female
103027,Sun, 25 Oct 2009 20:46:23 +0000,Onnik Krikorian,Unknown,Male
10304,Fri, 12 May 2006 20:05:13 +0000,Haitham Sabbah,Unknown,Male
103045,Mon, 26 Oct 2009 05:03:58 +0000,Amira Al Hussaini,Unknown,Female
103047,Mon, 26 Oct 2009 05:05:58 +0000,Amira Al Hussaini,Unknown,Female
103049,Mon, 26 Oct 2009 05:08:03 +0000,Amira Al Hussaini,Unknown,Female
103051,Mon, 26 Oct 2009 05:15:05 +0000,Amira Al Hussaini,Unknown,Female
103053,Mon, 26 Oct 2009 05:20:50 +0000,Amira Al Hussaini,Female,Female
103055,Mon, 26 Oct 2009 09:24:35 +0000,Amira Al Hussaini,Female,Female
10306,Fri, 12 May 2006 20:05:21 +0000,Haitham Sabbah,Male,Male
10307,Fri, 12 May 2006 19:50:41 +0000,Elijah Zarwan,Neutral,Male
10308,Fri, 12 May 2006 20:03:06 +0000,Haitham Sabbah,Unknown,Male
10312,Fri, 12 May 2006 20:05:31 +0000,Haitham Sabbah,Unknown,Male
103130,Wed, 23 Dec 2009 06:09:22 +0000,Maya Norton,Unknown,Female
103159,Wed, 23 Dec 2009 06:10:44 +0000,Maya Norton,Unknown,Female
103161,Mon, 26 Oct 2009 20:32:59 +0000,Lina Ben Mhenni,Neutral,Female
103162,Wed, 23 Dec 2009 06:11:28 +0000,Maya Norton,Unknown,Female
103166,Mon, 26 Oct 2009 19:46:12 +0000,Ayesha Saldanha,Male,Female
10334,Sat, 13 May 2006 18:02:04 +0000,Salam Adil,Neutral,Male
103380,Tue, 27 Oct 2009 10:46:26 +0000,Ayesha Saldanha,Unknown,Female
103384,Tue, 27 Oct 2009 10:55:01 +0000,Ayesha Saldanha,Unknown,Female
10345,Sun, 14 May 2006 16:34:52 +0000,Fred Petrossian,Male,Male
103517,Tue, 27 Oct 2009 20:23:43 +0000,Amira Al Hussaini,Unknown,Female
10352,Mon, 15 May 2006 07:00:14 +0000,Salam Adil,Unknown,Male
103520,Tue, 27 Oct 2009 20:51:24 +0000,Jillian C. York,Unknown,Female
103529,Tue, 27 Oct 2009 21:11:07 +0000,Ayesha Saldanha,Male,Female
10355,Mon, 15 May 2006 06:31:27 +0000,Fred Petrossian,Neutral,Male
10358,Mon, 15 May 2006 09:22:43 +0000,Naseem Tarawnah,Neutral,Male
103674,Thu, 29 Oct 2009 05:39:21 +0000,Marwa Rakha,Neutral,Female
10373,Tue, 16 May 2006 18:41:44 +0000,Fred Petrossian,Male,Male
103760,Thu, 29 Oct 2009 06:32:17 +0000,Amira Al Hussaini,Unknown,Female
103762,Thu, 29 Oct 2009 06:35:12 +0000,Amira Al Hussaini,Female,Female
103770,Wed, 30 Nov -0001 00:00:00 +0000,Lina Ben Mhenni,Neutral,Female
103865,Fri, 30 Oct 2009 07:37:48 +0000,Marwa Rakha,Unknown,Female
103978,Sun, 01 Nov 2009 07:24:11 +0000,Tarek Amr,Neutral,Male
103992,Sun, 01 Nov 2009 19:22:50 +0000,Yazan Badran,Unknown,Male
103993,Sun, 01 Nov 2009 19:23:22 +0000,Yazan Badran,Unknown,Male
103996,Sun, 01 Nov 2009 19:22:25 +0000,Yazan Badran,Neutral,Male
104011,Mon, 02 Nov 2009 20:49:28 +0000,Eman AbdElRahman,Unknown,Female
104014,Mon, 02 Nov 2009 20:01:35 +0000,Eman AbdElRahman,Female,Female
104198,Mon, 02 Nov 2009 12:35:50 +0000,Mohammad Azraq,Unknown,Male
10428,Tue, 16 May 2006 07:07:52 +0000,Salam Adil,Male,Male
104307,Tue, 03 Nov 2009 12:20:54 +0000,Jillian C. York,Neutral,Female
10431,Tue, 16 May 2006 19:01:31 +0000,Fred Petrossian,Unknown,Male
104321,Mon, 02 Nov 2009 22:06:09 +0000,Fred Petrossian,Male,Male
104442,Tue, 03 Nov 2009 02:16:29 +0000,Veronica Khokhlova,Unknown,Female
104519,Tue, 03 Nov 2009 12:28:12 +0000,Jillian C. York,Male,Female
104664,Wed, 04 Nov 2009 09:18:17 +0000,Fred Petrossian,Unknown,Male
104666,Wed, 04 Nov 2009 09:20:37 +0000,Fred Petrossian,Unknown,Male
104669,Wed, 04 Nov 2009 09:23:44 +0000,Fred Petrossian,Unknown,Male
104672,Wed, 04 Nov 2009 10:59:13 +0000,Fred Petrossian,Unknown,Male
104674,Wed, 04 Nov 2009 11:07:00 +0000,Fred Petrossian,Male,Male
104676,Wed, 04 Nov 2009 11:08:59 +0000,Fred Petrossian,Unknown,Male
104690,Wed, 04 Nov 2009 13:03:09 +0000,Fred Petrossian,Unknown,Male
104738,Wed, 04 Nov 2009 19:49:46 +0000,Jillian C. York,Neutral,Female
104751,Thu, 05 Nov 2009 14:27:13 +0000,Hisham Almiraat,Neutral,Male
104825,Mon, 09 Nov 2009 13:10:21 +0000,Lova Rakotomalala,Neutral,Male
104828,Thu, 05 Nov 2009 14:31:16 +0000,Anas Qtiesh,Male,Male
104873,Sat, 07 Nov 2009 15:40:43 +0000,Tarek Amr,Male,Male
104927,Thu, 05 Nov 2009 19:23:19 +0000,Fred Petrossian,Unknown,Male
10506,Wed, 17 May 2006 18:24:42 +0000,Haitham Sabbah,Unknown,Male
10507,Wed, 17 May 2006 18:24:47 +0000,Haitham Sabbah,Unknown,Male
10509,Wed, 17 May 2006 18:24:53 +0000,Haitham Sabbah,Unknown,Male
10510,Wed, 17 May 2006 18:24:59 +0000,Haitham Sabbah,Unknown,Male
105106,Fri, 06 Nov 2009 22:42:44 +0000,Juliana Rincón Parra,Unknown,Female
10511,Wed, 17 May 2006 19:55:39 +0000,Fred Petrossian,Male,Male
105117,Fri, 06 Nov 2009 19:49:10 +0000,Hisham Almiraat,Unknown,Male
10516,Wed, 17 May 2006 19:57:05 +0000,Fred Petrossian,Neutral,Male
105161,Sat, 07 Nov 2009 06:04:20 +0000,Amira Al Hussaini,Neutral,Female
105208,Sat, 07 Nov 2009 20:10:11 +0000,Amira Al Hussaini,Unknown,Female
105210,Sat, 07 Nov 2009 20:11:12 +0000,Amira Al Hussaini,Unknown,Female
105212,Sat, 07 Nov 2009 20:12:08 +0000,Amira Al Hussaini,Unknown,Female
105214,Sat, 07 Nov 2009 23:12:20 +0000,Amira Al Hussaini,Unknown,Female
105216,Sat, 07 Nov 2009 22:13:22 +0000,Amira Al Hussaini,Unknown,Female
105218,Sat, 07 Nov 2009 20:15:24 +0000,Amira Al Hussaini,Female,Female
105220,Sat, 07 Nov 2009 21:15:34 +0000,Amira Al Hussaini,Male,Female
105223,Sat, 07 Nov 2009 20:45:13 +0000,Amira Al Hussaini,Neutral,Female
105328,Sun, 08 Nov 2009 19:38:26 +0000,Ayesha Saldanha,Neutral,Female
10534,Thu, 18 May 2006 01:17:57 +0000,Deborah Ann Dilley,Neutral,Female
105381,Mon, 09 Nov 2009 05:34:33 +0000,Amira Al Hussaini,Unknown,Female
105384,Mon, 09 Nov 2009 06:06:20 +0000,Amira Al Hussaini,Unknown,Female
105386,Mon, 09 Nov 2009 06:07:36 +0000,Amira Al Hussaini,Unknown,Female
105388,Mon, 09 Nov 2009 06:14:36 +0000,Amira Al Hussaini,Unknown,Female
105452,Wed, 11 Nov 2009 22:16:08 +0000,Ayesha Saldanha,Neutral,Female
105458,Tue, 10 Nov 2009 05:23:30 +0000,Katharine Ganly,Unknown,Female
105585,Tue, 10 Nov 2009 10:44:13 +0000,Shabina Khatri,Neutral,Female
10560,Thu, 18 May 2006 13:40:10 +0000,Alice Backer,Unknown,Female
10567,Thu, 18 May 2006 17:58:10 +0000,Fred Petrossian,Neutral,Male
10569,Fri, 19 May 2006 09:34:32 +0000,Fred Petrossian,Unknown,Male
105721,Wed, 11 Nov 2009 05:56:00 +0000,Jennifer Brea,Unknown,Female
105731,Fri, 13 Nov 2009 12:16:56 +0000,Shabina Khatri,Neutral,Female
105775,Wed, 11 Nov 2009 19:30:20 +0000,Antoun Issa,Neutral,Male
105858,Thu, 12 Nov 2009 22:28:46 +0000,Hisham Almiraat,Neutral,Male
10588,Fri, 19 May 2006 09:35:24 +0000,Fred Petrossian,Male,Male
10605,Fri, 19 May 2006 14:11:28 +0000,Alice Backer,Neutral,Female
10615,Mon, 22 May 2006 13:29:45 +0000,Fred Petrossian,Neutral,Male
10616,Fri, 19 May 2006 17:29:00 +0000,Haitham Sabbah,Neutral,Male
106181,Fri, 13 Nov 2009 12:11:15 +0000,Marwa Rakha,Neutral,Female
106190,Fri, 13 Nov 2009 17:40:27 +0000,Marwa Rakha,Female,Female
106193,Sat, 14 Nov 2009 09:03:58 +0000,Marwa Rakha,Neutral,Female
106216,Fri, 13 Nov 2009 17:35:44 +0000,Jillian C. York,Neutral,Female
106283,Sat, 14 Nov 2009 04:14:05 +0000,Katharine Ganly,Unknown,Female
106316,Sat, 14 Nov 2009 07:49:04 +0000,Marwa Rakha,Neutral,Female
106321,Sat, 14 Nov 2009 08:40:26 +0000,Amira Al Hussaini,Neutral,Female
106328,Sun, 15 Nov 2009 08:01:10 +0000,Tarek Amr,Neutral,Male
106340,Wed, 18 Nov 2009 05:08:23 +0000,Ayesha Saldanha,Neutral,Female
106343,Mon, 23 Nov 2009 08:42:48 +0000,Tarek Amr,Neutral,Male
10638,Sat, 20 May 2006 15:46:46 +0000,Salam Adil,Neutral,Male
106499,Sun, 15 Nov 2009 21:19:24 +0000,Jillian C. York,Neutral,Female
10651,Mon, 22 May 2006 13:32:48 +0000,Fred Petrossian,Unknown,Male
10657,Mon, 29 May 2006 06:48:35 +0000,Mohamed Marwen Meddah,Neutral,Male
10658,Mon, 22 May 2006 21:15:21 +0000,Yazan Badran,Neutral,Male
106588,Mon, 16 Nov 2009 16:20:36 +0000,Fred Petrossian,Neutral,Male
10660,Mon, 22 May 2006 01:39:59 +0000,Deborah Ann Dilley,Unknown,Female
10678,Mon, 22 May 2006 13:23:17 +0000,Fred Petrossian,Neutral,Male
10682,Tue, 23 May 2006 12:10:28 +0000,Obi,Neutral,Female
106884,Tue, 17 Nov 2009 18:34:20 +0000,Amira Al Hussaini,Male,Female
106886,Tue, 17 Nov 2009 18:35:59 +0000,Amira Al Hussaini,Unknown,Female
106923,Wed, 18 Nov 2009 19:53:50 +0000,Jillian C. York,Female,Female
106924,Wed, 18 Nov 2009 06:53:25 +0000,Anas Qtiesh,Male,Male
106929,Fri, 20 Nov 2009 14:07:30 +0000,Hisham Almiraat,Neutral,Male
107140,Thu, 19 Nov 2009 05:50:40 +0000,Jillian C. York,Neutral,Female
10720,Mon, 22 May 2006 22:05:08 +0000,Haitham Sabbah,Unknown,Male
10722,Mon, 22 May 2006 22:04:59 +0000,Haitham Sabbah,Unknown,Male
10724,Mon, 22 May 2006 22:04:43 +0000,Haitham Sabbah,Unknown,Male
10734,Tue, 23 May 2006 15:49:27 +0000,Fred Petrossian,Male,Male
10741,Tue, 23 May 2006 21:02:57 +0000,Fred Petrossian,Neutral,Male
107438,Fri, 20 Nov 2009 16:15:46 +0000,Ayesha Saldanha,Unknown,Female
107490,Fri, 20 Nov 2009 20:06:28 +0000,Jillian C. York,Unknown,Female
10751,Tue, 23 May 2006 18:43:55 +0000,Melissa De León,Neutral,Female
10752,Tue, 23 May 2006 19:08:29 +0000,Haitham Sabbah,Neutral,Male
107530,Wed, 25 Nov 2009 22:35:52 +0000,Amira Al Hussaini,Neutral,Female
107541,Sat, 21 Nov 2009 19:11:25 +0000,Tarek Amr,Neutral,Male
107567,Sat, 21 Nov 2009 19:25:18 +0000,Amira Al Hussaini,Male,Female
107569,Sat, 21 Nov 2009 19:26:13 +0000,Amira Al Hussaini,Unknown,Female
107571,Sat, 21 Nov 2009 19:27:26 +0000,Amira Al Hussaini,Unknown,Female
107573,Sat, 21 Nov 2009 19:28:29 +0000,Amira Al Hussaini,Unknown,Female
107642,Sun, 22 Nov 2009 19:29:18 +0000,Jillian C. York,Female,Female
107651,Sun, 22 Nov 2009 19:43:08 +0000,Amira Al Hussaini,Female,Female
107653,Sun, 22 Nov 2009 19:45:17 +0000,Amira Al Hussaini,Unknown,Female
107655,Sun, 22 Nov 2009 19:50:47 +0000,Amira Al Hussaini,Unknown,Female
107657,Sun, 22 Nov 2009 19:53:29 +0000,Amira Al Hussaini,Unknown,Female
107660,Mon, 23 Nov 2009 09:31:14 +0000,Marwa Rakha,Neutral,Female
107685,Mon, 23 Nov 2009 08:00:11 +0000,Shabina Khatri,Neutral,Female
1077,Wed, 10 Aug 2005 10:55:39 +0000,Haitham Sabbah,Unknown,Male
107763,Tue, 24 Nov 2009 16:55:09 +0000,Marwa Rakha,Neutral,Female
107787,Tue, 24 Nov 2009 18:54:40 +0000,Marwa Rakha,Neutral,Female
1078,Wed, 10 Aug 2005 11:17:13 +0000,Haitham Sabbah,Unknown,Male
1079,Wed, 10 Aug 2005 11:50:44 +0000,Haitham Sabbah,Unknown,Male
10796,Wed, 24 May 2006 16:11:43 +0000,John Kennedy,Unknown,Male
10799,Wed, 24 May 2006 17:00:26 +0000,Fred Petrossian,Male,Male
1080,Wed, 10 Aug 2005 12:32:21 +0000,Haitham Sabbah,Male,Male
10802,Wed, 24 May 2006 17:20:08 +0000,Fred Petrossian,Male,Male
108042,Sun, 10 Apr 2011 12:41:53 +0000,Asteris Masouras,Neutral,Male
10807,Wed, 24 May 2006 18:31:01 +0000,Haitham Sabbah,Unknown,Male
10808,Wed, 24 May 2006 18:30:42 +0000,Haitham Sabbah,Unknown,Male
10809,Wed, 24 May 2006 18:30:27 +0000,Haitham Sabbah,Unknown,Male
1081,Wed, 10 Aug 2005 12:51:12 +0000,Haitham Sabbah,Neutral,Male
10810,Wed, 24 May 2006 18:27:00 +0000,Haitham Sabbah,Neutral,Male
108228,Wed, 25 Nov 2009 21:36:54 +0000,Amira Al Hussaini,Unknown,Female
108230,Wed, 25 Nov 2009 21:38:28 +0000,Amira Al Hussaini,Unknown,Female
108232,Wed, 25 Nov 2009 21:39:18 +0000,Amira Al Hussaini,Unknown,Female
108238,Wed, 25 Nov 2009 21:46:47 +0000,Amira Al Hussaini,Unknown,Female
108241,Wed, 25 Nov 2009 21:48:07 +0000,Amira Al Hussaini,Female,Female
108243,Wed, 25 Nov 2009 21:49:08 +0000,Amira Al Hussaini,Unknown,Female
108245,Wed, 25 Nov 2009 21:51:22 +0000,Amira Al Hussaini,Female,Female
108249,Wed, 25 Nov 2009 21:54:46 +0000,Amira Al Hussaini,Male,Female
108251,Wed, 25 Nov 2009 22:00:32 +0000,Amira Al Hussaini,Unknown,Female
108253,Wed, 25 Nov 2009 22:04:05 +0000,Amira Al Hussaini,Unknown,Female
108256,Wed, 25 Nov 2009 22:07:33 +0000,Amira Al Hussaini,Unknown,Female
108259,Wed, 25 Nov 2009 22:11:02 +0000,Amira Al Hussaini,Male,Female
10830,Wed, 24 May 2006 23:36:39 +0000,Deborah Ann Dilley,Neutral,Female
10845,Fri, 26 May 2006 08:24:00 +0000,Salam Adil,Neutral,Male
108475,Thu, 03 Dec 2009 19:29:34 +0000,Suzanne Lehn,Neutral,Female
108552,Sat, 28 Nov 2009 09:33:05 +0000,Marwa Rakha,Neutral,Female
108631,Sat, 28 Nov 2009 09:08:27 +0000,Katharine Ganly,Unknown,Female
10869,Fri, 26 May 2006 08:20:42 +0000,Fred Petrossian,Unknown,Male
108828,Wed, 30 Nov -0001 00:00:00 +0000,Raphael Tsavkko Garcia,Unknown,Male
1089,Wed, 10 Aug 2005 17:47:54 +0000,Haitham Sabbah,Female,Male
108978,Sun, 29 Nov 2009 16:50:29 +0000,Amira Al Hussaini,Unknown,Female
108980,Sun, 29 Nov 2009 16:54:42 +0000,Amira Al Hussaini,Unknown,Female
108982,Sun, 29 Nov 2009 16:58:55 +0000,Amira Al Hussaini,Neutral,Female
108984,Sun, 29 Nov 2009 17:02:30 +0000,Amira Al Hussaini,Unknown,Female
108987,Sun, 29 Nov 2009 17:10:56 +0000,Amira Al Hussaini,Unknown,Female
109054,Wed, 02 Dec 2009 07:41:41 +0000,Jennifer Brea,Neutral,Female
109066,Mon, 30 Nov 2009 18:31:43 +0000,Layal Al Khatib,Unknown,Unknown
109080,Mon, 30 Nov 2009 15:04:49 +0000,Ayesha Saldanha,Neutral,Female
10913,Fri, 26 May 2006 08:20:52 +0000,Fred Petrossian,Unknown,Male
109171,Mon, 30 Nov 2009 18:48:33 +0000,Fred Petrossian,Male,Male
109172,Mon, 30 Nov 2009 18:44:31 +0000,Amira Al Hussaini,Male,Female
109175,Mon, 30 Nov 2009 18:49:55 +0000,Amira Al Hussaini,Unknown,Female
109177,Mon, 30 Nov 2009 18:54:41 +0000,Fred Petrossian,Unknown,Male
109209,Tue, 01 Dec 2009 12:40:04 +0000,Jillian C. York,Neutral,Female
10935,Fri, 26 May 2006 21:35:07 +0000,Fred Petrossian,Unknown,Male
109398,Wed, 02 Dec 2009 05:11:59 +0000,Jillian C. York,Neutral,Female
109546,Wed, 02 Dec 2009 18:58:53 +0000,Jillian C. York,Male,Female
109548,Wed, 02 Dec 2009 19:01:52 +0000,Jillian C. York,Unknown,Female
10962,Fri, 26 May 2006 21:03:29 +0000,Haitham Sabbah,Neutral,Male
109778,Thu, 03 Dec 2009 19:07:19 +0000,Rezwan,Unknown,Male
10981,Sun, 28 May 2006 04:20:12 +0000,Deborah Ann Dilley,Unknown,Female
110032,Sat, 05 Dec 2009 19:33:04 +0000,Fred Petrossian,Unknown,Male
110034,Sun, 06 Dec 2009 17:33:52 +0000,Fred Petrossian,Unknown,Male
110055,Sat, 05 Dec 2009 20:38:52 +0000,Fred Petrossian,Female,Male
110058,Sat, 05 Dec 2009 20:55:20 +0000,Amira Al Hussaini,Unknown,Female
110105,Sun, 06 Dec 2009 11:27:57 +0000,Fred Petrossian,Unknown,Male
11011,Mon, 29 May 2006 19:06:56 +0000,Haitham Sabbah,Unknown,Male
110238,Sun, 06 Dec 2009 23:08:35 +0000,Fred Petrossian,Unknown,Male
