id,pubdate,byline,gender_by_pronoun,gender_by_byline,wc,pc
100761,Sat, 10 Oct 2009 23:56:08 +0000,Veronica Khokhlova,Unknown,Female,10,1
100763,Sun, 11 Oct 2009 00:27:15 +0000,Veronica Khokhlova,Unknown,Female,28,1
100768,Sun, 11 Oct 2009 00:48:31 +0000,Veronica Khokhlova,Unknown,Female,31,1
100770,Sun, 11 Oct 2009 01:01:04 +0000,Veronica Khokhlova,Unknown,Female,16,1
100772,Sun, 11 Oct 2009 01:04:48 +0000,Veronica Khokhlova,Unknown,Female,66,1
100774,Sun, 11 Oct 2009 01:17:23 +0000,Veronica Khokhlova,Unknown,Female,8,1
10078,Mon, 08 May 2006 21:24:36 +0000,Veronica Khokhlova,Male,Female,65,1
10079,Mon, 08 May 2006 21:27:24 +0000,Veronica Khokhlova,Unknown,Female,101,1
1008,Sat, 06 Aug 2005 16:32:57 +0000,Paul Frankenstein,Unknown,Male,18,1
10081,Mon, 08 May 2006 21:27:07 +0000,Veronica Khokhlova,Male,Female,17,1
10082,Mon, 08 May 2006 21:27:45 +0000,Veronica Khokhlova,Unknown,Female,45,1
10085,Mon, 08 May 2006 21:29:05 +0000,Veronica Khokhlova,Unknown,Female,113,1
100852,Sun, 11 Oct 2009 20:39:05 +0000,Veronica Khokhlova,Unknown,Female,12,1
100854,Sun, 11 Oct 2009 22:46:41 +0000,Veronica Khokhlova,Unknown,Female,18,1
100856,Sun, 11 Oct 2009 22:52:48 +0000,Veronica Khokhlova,Unknown,Female,38,1
100858,Sun, 11 Oct 2009 22:56:41 +0000,Veronica Khokhlova,Unknown,Female,14,1
10086,Mon, 08 May 2006 21:31:50 +0000,Veronica Khokhlova,Unknown,Female,12,1
100860,Sun, 11 Oct 2009 22:59:17 +0000,Veronica Khokhlova,Unknown,Female,12,1
100865,Sun, 11 Oct 2009 23:30:04 +0000,Veronica Khokhlova,Unknown,Female,15,1
10087,Mon, 08 May 2006 21:33:17 +0000,Veronica Khokhlova,Unknown,Female,16,1
100955,Mon, 12 Oct 2009 23:20:18 +0000,Veronica Khokhlova,Unknown,Female,57,1
100959,Mon, 12 Oct 2009 23:40:16 +0000,Veronica Khokhlova,Unknown,Female,20,1
100961,Mon, 12 Oct 2009 23:43:18 +0000,Veronica Khokhlova,Unknown,Female,33,1
101086,Tue, 13 Oct 2009 21:51:41 +0000,Veronica Khokhlova,Unknown,Female,12,1
101212,Wed, 14 Oct 2009 22:40:53 +0000,Veronica Khokhlova,Unknown,Female,121,1
101220,Wed, 14 Oct 2009 23:06:06 +0000,Veronica Khokhlova,Unknown,Female,43,1
101229,Wed, 14 Oct 2009 23:33:00 +0000,Veronica Khokhlova,Unknown,Female,33,1
101232,Mon, 19 Oct 2009 01:53:34 +0000,Veronica Khokhlova,Neutral,Female,955,40
10124,Tue, 09 May 2006 21:16:55 +0000,Veronica Khokhlova,Neutral,Female,907,45
101265,Thu, 15 Oct 2009 07:08:44 +0000,David Sasaki,Female,Male,102,3
101451,Sun, 18 Oct 2009 01:31:59 +0000,M L,Neutral,Unknown,391,19
10148,Wed, 10 May 2006 00:16:07 +0000,Veronica Khokhlova,Female,Female,28,1
10150,Wed, 10 May 2006 00:17:34 +0000,Veronica Khokhlova,Unknown,Female,85,1
10153,Wed, 10 May 2006 00:18:28 +0000,Veronica Khokhlova,Unknown,Female,31,1
10154,Wed, 10 May 2006 00:19:02 +0000,Veronica Khokhlova,Male,Female,23,1
10155,Wed, 10 May 2006 00:15:49 +0000,Veronica Khokhlova,Unknown,Female,16,1
10192,Wed, 10 May 2006 21:07:31 +0000,Veronica Khokhlova,Male,Female,32,1
10194,Wed, 10 May 2006 21:11:26 +0000,Veronica Khokhlova,Unknown,Female,84,1
10195,Wed, 10 May 2006 21:09:44 +0000,Veronica Khokhlova,Male,Female,17,1
10196,Wed, 10 May 2006 21:10:55 +0000,Veronica Khokhlova,Unknown,Female,20,1
10197,Wed, 10 May 2006 21:11:52 +0000,Veronica Khokhlova,Unknown,Female,35,1
10199,Thu, 11 May 2006 10:57:08 +0000,Jordan & Maria Seidel,Neutral,Male,530,23
10200,Wed, 10 May 2006 21:12:29 +0000,Veronica Khokhlova,Unknown,Female,15,1
10222,Thu, 11 May 2006 10:55:22 +0000,Veronica Khokhlova,Female,Female,43,1
10224,Thu, 11 May 2006 10:49:46 +0000,Veronica Khokhlova,Male,Female,23,1
102240,Wed, 21 Oct 2009 00:40:51 +0000,Veronica Khokhlova,Unknown,Female,52,1
102242,Wed, 21 Oct 2009 00:43:47 +0000,Veronica Khokhlova,Unknown,Female,16,1
102285,Wed, 21 Oct 2009 12:46:17 +0000,Veronica Khokhlova,Unknown,Female,25,1
102287,Wed, 21 Oct 2009 12:53:52 +0000,Veronica Khokhlova,Unknown,Female,16,1
102290,Wed, 21 Oct 2009 13:02:10 +0000,Veronica Khokhlova,Male,Female,63,1
10230,Thu, 11 May 2006 10:50:20 +0000,Veronica Khokhlova,Female,Female,71,1
10233,Thu, 11 May 2006 10:52:38 +0000,Veronica Khokhlova,Unknown,Female,39,1
10237,Thu, 11 May 2006 10:54:55 +0000,Veronica Khokhlova,Unknown,Female,55,1
10238,Thu, 11 May 2006 10:53:39 +0000,Veronica Khokhlova,Female,Female,21,1
10239,Thu, 11 May 2006 10:54:05 +0000,Veronica Khokhlova,Unknown,Female,117,1
10240,Thu, 11 May 2006 10:50:42 +0000,Veronica Khokhlova,Neutral,Female,100,1
102408,Wed, 21 Oct 2009 23:19:46 +0000,Veronica Khokhlova,Unknown,Female,17,1
102410,Wed, 21 Oct 2009 23:30:51 +0000,Veronica Khokhlova,Unknown,Female,20,1
102412,Wed, 21 Oct 2009 23:41:09 +0000,Veronica Khokhlova,Unknown,Female,104,1
102414,Fri, 23 Oct 2009 01:38:21 +0000,Veronica Khokhlova,Neutral,Female,1512,99
10305,Fri, 12 May 2006 23:10:03 +0000,Veronica Khokhlova,Neutral,Female,61,1
10310,Fri, 12 May 2006 23:10:23 +0000,Veronica Khokhlova,Unknown,Female,59,1
103111,Wed, 28 Oct 2009 00:29:26 +0000,M L,Neutral,Unknown,867,24
10317,Fri, 12 May 2006 22:27:38 +0000,Veronica Khokhlova,Neutral,Female,860,31
10318,Fri, 12 May 2006 23:13:22 +0000,Veronica Khokhlova,Unknown,Female,32,1
10319,Fri, 12 May 2006 23:16:37 +0000,Veronica Khokhlova,Male,Female,53,1
10320,Fri, 12 May 2006 23:16:54 +0000,Veronica Khokhlova,Unknown,Female,35,1
103394,Tue, 27 Oct 2009 11:38:47 +0000,David Sasaki,Female,Male,95,1
10341,Mon, 15 May 2006 05:50:02 +0000,Veronica Khokhlova,Unknown,Female,28,1
103410,Tue, 27 Oct 2009 13:31:06 +0000,Vilhelm Konnander,Unknown,Male,22,1
103419,Tue, 27 Oct 2009 13:39:31 +0000,Vilhelm Konnander,Unknown,Male,30,1
10342,Mon, 15 May 2006 05:50:34 +0000,Veronica Khokhlova,Male,Female,57,1
103427,Tue, 27 Oct 2009 13:54:50 +0000,Vilhelm Konnander,Unknown,Male,23,1
10343,Mon, 15 May 2006 05:53:40 +0000,Veronica Khokhlova,Female,Female,32,1
103433,Tue, 27 Oct 2009 14:02:37 +0000,Vilhelm Konnander,Unknown,Male,16,1
10349,Mon, 15 May 2006 05:54:10 +0000,Veronica Khokhlova,Unknown,Female,79,1
10351,Mon, 15 May 2006 05:56:37 +0000,Veronica Khokhlova,Neutral,Female,112,1
10353,Mon, 15 May 2006 05:57:30 +0000,Veronica Khokhlova,Neutral,Female,65,1
10354,Mon, 15 May 2006 05:52:43 +0000,Veronica Khokhlova,Unknown,Female,46,1
10356,Mon, 15 May 2006 06:40:53 +0000,Veronica Khokhlova,Unknown,Female,43,1
10357,Mon, 15 May 2006 07:08:42 +0000,Veronica Khokhlova,Unknown,Female,145,1
10359,Wed, 17 May 2006 10:29:24 +0000,Veronica Khokhlova,Neutral,Female,970,43
103723,Wed, 28 Oct 2009 22:35:13 +0000,Veronica Khokhlova,Unknown,Female,27,1
103725,Wed, 28 Oct 2009 23:19:31 +0000,Veronica Khokhlova,Unknown,Female,15,1
103734,Thu, 29 Oct 2009 00:15:40 +0000,Veronica Khokhlova,Unknown,Female,133,1
103737,Thu, 29 Oct 2009 00:37:29 +0000,Veronica Khokhlova,Female,Female,78,1
103743,Thu, 29 Oct 2009 01:01:34 +0000,Veronica Khokhlova,Unknown,Female,59,1
103745,Thu, 29 Oct 2009 01:52:10 +0000,Veronica Khokhlova,Unknown,Female,17,1
103747,Thu, 29 Oct 2009 02:02:36 +0000,Veronica Khokhlova,Unknown,Female,102,1
103749,Thu, 29 Oct 2009 02:26:39 +0000,Veronica Khokhlova,Unknown,Female,56,1
103751,Thu, 29 Oct 2009 02:34:18 +0000,Veronica Khokhlova,Unknown,Female,16,1
103753,Thu, 29 Oct 2009 02:38:50 +0000,Veronica Khokhlova,Unknown,Female,17,1
103842,Fri, 30 Oct 2009 00:29:42 +0000,Veronica Khokhlova,Unknown,Female,17,1
103850,Fri, 30 Oct 2009 01:32:21 +0000,Veronica Khokhlova,Unknown,Female,13,1
103852,Fri, 30 Oct 2009 02:00:43 +0000,Veronica Khokhlova,Unknown,Female,71,1
103854,Fri, 30 Oct 2009 02:07:44 +0000,Veronica Khokhlova,Unknown,Female,31,1
103856,Fri, 30 Oct 2009 02:26:14 +0000,Veronica Khokhlova,Unknown,Female,46,1
103858,Fri, 30 Oct 2009 02:41:22 +0000,Veronica Khokhlova,Unknown,Female,46,1
103979,Sat, 31 Oct 2009 03:26:11 +0000,Veronica Khokhlova,Neutral,Female,962,55
104167,Sun, 01 Nov 2009 23:53:49 +0000,Veronica Khokhlova,Unknown,Female,22,1
104169,Mon, 02 Nov 2009 00:33:13 +0000,Veronica Khokhlova,Unknown,Female,61,1
104178,Mon, 02 Nov 2009 00:41:22 +0000,Veronica Khokhlova,Unknown,Female,30,1
104180,Mon, 02 Nov 2009 01:05:59 +0000,Veronica Khokhlova,Unknown,Female,49,1
104182,Mon, 02 Nov 2009 20:54:37 +0000,Veronica Khokhlova,Unknown,Female,40,1
104320,Mon, 02 Nov 2009 21:08:24 +0000,Veronica Khokhlova,Unknown,Female,80,1
104353,Mon, 02 Nov 2009 22:34:37 +0000,Veronica Khokhlova,Unknown,Female,46,1
104356,Mon, 02 Nov 2009 22:58:05 +0000,Veronica Khokhlova,Unknown,Female,18,1
104359,Mon, 02 Nov 2009 23:02:00 +0000,Veronica Khokhlova,Unknown,Female,22,1
104364,Mon, 02 Nov 2009 23:06:52 +0000,Veronica Khokhlova,Unknown,Female,68,1
104383,Mon, 02 Nov 2009 23:27:44 +0000,Veronica Khokhlova,Unknown,Female,26,1
104385,Mon, 02 Nov 2009 23:34:14 +0000,Veronica Khokhlova,Unknown,Female,25,1
104388,Mon, 02 Nov 2009 23:59:44 +0000,Veronica Khokhlova,Unknown,Female,91,1
104396,Tue, 03 Nov 2009 00:20:13 +0000,Veronica Khokhlova,Unknown,Female,16,1
104399,Tue, 03 Nov 2009 00:29:36 +0000,Veronica Khokhlova,Unknown,Female,45,1
104403,Tue, 03 Nov 2009 00:37:48 +0000,Veronica Khokhlova,Unknown,Female,35,1
104405,Tue, 03 Nov 2009 00:42:13 +0000,Veronica Khokhlova,Unknown,Female,10,1
104408,Tue, 03 Nov 2009 00:46:59 +0000,Veronica Khokhlova,Unknown,Female,21,1
104411,Tue, 03 Nov 2009 00:58:32 +0000,Veronica Khokhlova,Unknown,Female,14,1
104414,Tue, 03 Nov 2009 01:12:11 +0000,Veronica Khokhlova,Neutral,Female,81,1
104416,Tue, 03 Nov 2009 01:19:38 +0000,Veronica Khokhlova,Unknown,Female,12,1
104419,Tue, 03 Nov 2009 01:26:08 +0000,Veronica Khokhlova,Unknown,Female,12,1
104421,Tue, 03 Nov 2009 01:30:28 +0000,Veronica Khokhlova,Unknown,Female,62,1
104423,Tue, 03 Nov 2009 01:34:07 +0000,Veronica Khokhlova,Unknown,Female,49,1
104425,Tue, 03 Nov 2009 01:39:45 +0000,Veronica Khokhlova,Unknown,Female,31,1
104427,Tue, 03 Nov 2009 01:44:39 +0000,Veronica Khokhlova,Unknown,Female,12,1
104430,Tue, 03 Nov 2009 01:48:07 +0000,Veronica Khokhlova,Unknown,Female,35,1
104433,Tue, 03 Nov 2009 01:51:27 +0000,Veronica Khokhlova,Unknown,Female,17,1
104440,Tue, 03 Nov 2009 02:01:11 +0000,Veronica Khokhlova,Unknown,Female,11,1
104444,Tue, 03 Nov 2009 02:19:19 +0000,Veronica Khokhlova,Unknown,Female,17,1
10448,Tue, 16 May 2006 20:33:25 +0000,Veronica Khokhlova,Male,Female,47,1
10449,Tue, 16 May 2006 20:36:52 +0000,Veronica Khokhlova,Neutral,Female,81,1
104496,Tue, 03 Nov 2009 09:10:25 +0000,Veronica Khokhlova,Unknown,Female,8,1
104498,Tue, 03 Nov 2009 09:18:25 +0000,Veronica Khokhlova,Unknown,Female,26,1
1045,Mon, 08 Aug 2005 19:48:47 +0000,Paul Frankenstein,Unknown,Male,21,1
10450,Tue, 16 May 2006 20:29:56 +0000,Veronica Khokhlova,Unknown,Female,14,1
10451,Tue, 16 May 2006 20:32:56 +0000,Veronica Khokhlova,Unknown,Female,39,1
10452,Tue, 16 May 2006 20:28:35 +0000,Veronica Khokhlova,Unknown,Female,13,1
10453,Tue, 16 May 2006 20:29:03 +0000,Veronica Khokhlova,Male,Female,84,1
10454,Tue, 16 May 2006 20:31:39 +0000,Veronica Khokhlova,Unknown,Female,42,1
10455,Tue, 16 May 2006 20:32:13 +0000,Veronica Khokhlova,Unknown,Female,15,1
10459,Tue, 16 May 2006 20:30:26 +0000,Veronica Khokhlova,Unknown,Female,34,1
10461,Tue, 16 May 2006 20:27:53 +0000,Veronica Khokhlova,Male,Female,28,1
104611,Wed, 04 Nov 2009 01:03:19 +0000,Alexey Sidorenko,Male,Male,77,1
104648,Wed, 04 Nov 2009 02:26:05 +0000,Veronica Khokhlova,Unknown,Female,90,1
104681,Fri, 06 Nov 2009 20:35:32 +0000,Alexey Sidorenko,Neutral,Male,831,30
1047,Mon, 08 Aug 2005 20:18:02 +0000,Paul Frankenstein,Female,Male,45,1
104943,Thu, 05 Nov 2009 23:22:10 +0000,Veronica Khokhlova,Unknown,Female,27,1
104945,Thu, 05 Nov 2009 23:27:43 +0000,Veronica Khokhlova,Unknown,Female,18,1
104947,Thu, 05 Nov 2009 23:42:17 +0000,Veronica Khokhlova,Unknown,Female,39,1
104949,Thu, 05 Nov 2009 23:46:30 +0000,Veronica Khokhlova,Unknown,Female,15,1
104951,Thu, 05 Nov 2009 23:50:23 +0000,Veronica Khokhlova,Unknown,Female,16,1
104953,Fri, 06 Nov 2009 00:02:05 +0000,Veronica Khokhlova,Unknown,Female,42,1
104955,Fri, 06 Nov 2009 00:22:42 +0000,Veronica Khokhlova,Unknown,Female,64,1
104957,Fri, 06 Nov 2009 00:28:08 +0000,Veronica Khokhlova,Neutral,Female,39,1
104959,Fri, 06 Nov 2009 00:30:57 +0000,Veronica Khokhlova,Unknown,Female,10,1
104962,Fri, 06 Nov 2009 00:36:03 +0000,Veronica Khokhlova,Unknown,Female,19,1
104966,Fri, 06 Nov 2009 00:43:03 +0000,Veronica Khokhlova,Unknown,Female,72,1
104969,Fri, 06 Nov 2009 00:46:15 +0000,Veronica Khokhlova,Unknown,Female,39,1
104971,Fri, 06 Nov 2009 00:49:54 +0000,Veronica Khokhlova,Unknown,Female,18,1
104973,Fri, 06 Nov 2009 00:57:52 +0000,Veronica Khokhlova,Unknown,Female,13,1
104975,Fri, 06 Nov 2009 01:10:54 +0000,Veronica Khokhlova,Unknown,Female,40,1
105155,Sat, 07 Nov 2009 00:32:03 +0000,Veronica Khokhlova,Unknown,Female,15,1
10517,Wed, 17 May 2006 21:02:03 +0000,Veronica Khokhlova,Male,Female,88,1
10525,Wed, 17 May 2006 21:02:53 +0000,Veronica Khokhlova,Unknown,Female,65,1
105284,Tue, 10 Nov 2009 03:55:05 +0000,Veronica Khokhlova,Neutral,Female,1996,97
10529,Wed, 17 May 2006 21:03:08 +0000,Veronica Khokhlova,Male,Female,49,1
10531,Wed, 17 May 2006 21:01:51 +0000,Veronica Khokhlova,Unknown,Female,28,1
10533,Wed, 17 May 2006 21:01:28 +0000,Veronica Khokhlova,Neutral,Female,132,1
105398,Mon, 09 Nov 2009 22:59:49 +0000,Alexey Sidorenko,Neutral,Male,625,27
105443,Mon, 09 Nov 2009 15:30:49 +0000,David Sasaki,Neutral,Male,545,27
10545,Thu, 18 May 2006 08:38:54 +0000,Veronica Khokhlova,Male,Female,30,1
105453,Tue, 10 Nov 2009 04:32:53 +0000,M L,Male,Unknown,578,21
10546,Thu, 18 May 2006 08:38:27 +0000,Veronica Khokhlova,Female,Female,37,1
10547,Thu, 18 May 2006 08:41:03 +0000,Veronica Khokhlova,Male,Female,62,1
10548,Thu, 18 May 2006 08:40:05 +0000,Veronica Khokhlova,Unknown,Female,105,1
10549,Thu, 18 May 2006 08:41:14 +0000,Veronica Khokhlova,Unknown,Female,90,1
10550,Thu, 18 May 2006 08:39:04 +0000,Veronica Khokhlova,Unknown,Female,69,1
105602,Tue, 10 Nov 2009 16:52:00 +0000,Alexey Sidorenko,Unknown,Male,45,1
105605,Fri, 20 Nov 2009 22:35:00 +0000,Alexey Sidorenko,Neutral,Male,526,21
105702,Thu, 12 Nov 2009 03:40:24 +0000,Alexey Sidorenko,Unknown,Male,30,1
105779,Wed, 11 Nov 2009 16:32:50 +0000,Alexey Sidorenko,Unknown,Male,17,1
10599,Fri, 19 May 2006 23:53:51 +0000,Veronica Khokhlova,Neutral,Female,563,48
106010,Wed, 30 Nov -0001 00:00:00 +0000,Alexey Sidorenko,Neutral,Male,1397,58
106016,Fri, 13 Nov 2009 00:50:59 +0000,M L,Neutral,Unknown,1099,35
1061,Tue, 09 Aug 2005 18:56:12 +0000,Paul Frankenstein,Unknown,Male,23,1
10626,Fri, 19 May 2006 22:04:43 +0000,Veronica Khokhlova,Unknown,Female,64,1
10627,Fri, 19 May 2006 22:07:49 +0000,Veronica Khokhlova,Unknown,Female,96,1
10628,Fri, 19 May 2006 22:04:17 +0000,Veronica Khokhlova,Unknown,Female,85,1
10629,Fri, 19 May 2006 22:06:55 +0000,Veronica Khokhlova,Male,Female,66,1
10630,Fri, 19 May 2006 22:02:40 +0000,Veronica Khokhlova,Unknown,Female,23,1
10631,Fri, 19 May 2006 22:05:22 +0000,Veronica Khokhlova,Unknown,Female,22,1
10633,Fri, 19 May 2006 22:07:13 +0000,Veronica Khokhlova,Neutral,Female,72,1
10634,Fri, 19 May 2006 22:07:29 +0000,Veronica Khokhlova,Male,Female,30,1
10635,Fri, 19 May 2006 22:05:02 +0000,Veronica Khokhlova,Unknown,Female,17,1
106403,Sun, 15 Nov 2009 00:54:09 +0000,Veronica Khokhlova,Unknown,Female,18,1
10653,Sun, 21 May 2006 08:02:59 +0000,Veronica Khokhlova,Male,Female,54,5
106543,Wed, 18 Nov 2009 00:56:19 +0000,Jakub Górnicki,Neutral,Male,425,27
106550,Mon, 16 Nov 2009 00:45:52 +0000,Veronica Khokhlova,Unknown,Female,29,1
106552,Mon, 16 Nov 2009 00:54:16 +0000,Veronica Khokhlova,Unknown,Female,49,1
106554,Mon, 16 Nov 2009 01:04:09 +0000,Veronica Khokhlova,Unknown,Female,39,1
106558,Mon, 16 Nov 2009 01:57:39 +0000,Veronica Khokhlova,Unknown,Female,100,1
106573,Mon, 16 Nov 2009 02:04:30 +0000,Veronica Khokhlova,Unknown,Female,38,1
106577,Mon, 16 Nov 2009 02:26:56 +0000,Veronica Khokhlova,Unknown,Female,96,1
106584,Mon, 16 Nov 2009 02:57:31 +0000,Veronica Khokhlova,Neutral,Female,132,1
106586,Mon, 16 Nov 2009 03:02:23 +0000,Veronica Khokhlova,Unknown,Female,17,1
106742,Tue, 17 Nov 2009 00:57:09 +0000,Veronica Khokhlova,Unknown,Female,14,1
106744,Tue, 17 Nov 2009 01:01:06 +0000,Veronica Khokhlova,Unknown,Female,37,1
106746,Tue, 17 Nov 2009 01:08:52 +0000,Veronica Khokhlova,Neutral,Female,92,1
106749,Tue, 17 Nov 2009 01:35:30 +0000,Veronica Khokhlova,Unknown,Female,49,1
106753,Tue, 17 Nov 2009 01:47:03 +0000,Veronica Khokhlova,Unknown,Female,27,1
106758,Tue, 17 Nov 2009 02:06:22 +0000,Veronica Khokhlova,Unknown,Female,133,1
1068,Tue, 09 Aug 2005 20:04:21 +0000,Paul Frankenstein,Unknown,Male,41,1
106936,Wed, 18 Nov 2009 02:22:34 +0000,Sinisa Boljanovic,Neutral,Male,689,37
10706,Mon, 22 May 2006 23:26:24 +0000,Veronica Khokhlova,Neutral,Female,862,50
107079,Wed, 18 Nov 2009 16:43:06 +0000,Alexey Sidorenko,Unknown,Male,51,1
10708,Mon, 22 May 2006 21:20:17 +0000,Veronica Khokhlova,Unknown,Female,56,1
10709,Mon, 22 May 2006 21:19:17 +0000,Veronica Khokhlova,Unknown,Female,35,1
10710,Mon, 22 May 2006 21:20:28 +0000,Veronica Khokhlova,Unknown,Female,60,1
10711,Mon, 22 May 2006 21:20:40 +0000,Veronica Khokhlova,Male,Female,124,1
10713,Mon, 22 May 2006 21:20:03 +0000,Veronica Khokhlova,Unknown,Female,25,1
10714,Mon, 22 May 2006 21:19:37 +0000,Veronica Khokhlova,Male,Female,59,1
107143,Fri, 20 Nov 2009 03:44:51 +0000,Veronica Khokhlova,Neutral,Female,1282,51
107154,Fri, 20 Nov 2009 04:33:32 +0000,Alexey Sidorenko,Unknown,Male,56,1
107160,Thu, 19 Nov 2009 10:15:37 +0000,David Sasaki,Unknown,Male,945,57
107217,Thu, 19 Nov 2009 23:48:08 +0000,Jakub Górnicki,Neutral,Male,257,11
107387,Fri, 20 Nov 2009 23:14:47 +0000,Sylwia Presley,Neutral,Female,826,44
107398,Fri, 20 Nov 2009 13:17:52 +0000,David Sasaki,Neutral,Male,874,31
107439,Sat, 21 Nov 2009 00:45:31 +0000,Sylwia Presley,Neutral,Female,840,41
107576,Sun, 22 Nov 2009 02:32:57 +0000,Vadim Isakov,Unknown,Male,28,1
10759,Tue, 23 May 2006 22:45:21 +0000,Veronica Khokhlova,Unknown,Female,78,1
10760,Tue, 23 May 2006 22:46:03 +0000,Veronica Khokhlova,Unknown,Female,100,2
10761,Tue, 23 May 2006 22:45:44 +0000,Veronica Khokhlova,Unknown,Female,11,1
10762,Tue, 23 May 2006 22:45:00 +0000,Veronica Khokhlova,Unknown,Female,42,1
10763,Tue, 23 May 2006 22:43:14 +0000,Veronica Khokhlova,Neutral,Female,85,1
10764,Tue, 23 May 2006 22:46:42 +0000,Veronica Khokhlova,Male,Female,59,1
10765,Tue, 23 May 2006 22:44:42 +0000,Veronica Khokhlova,Unknown,Female,12,1
10766,Wed, 24 May 2006 00:35:40 +0000,Veronica Khokhlova,Neutral,Female,767,21
107708,Mon, 23 Nov 2009 23:22:28 +0000,Filip Stojanovski,Unknown,Male,353,28
107735,Tue, 24 Nov 2009 09:47:03 +0000,Tibor Blazko,Unknown,Male,1050,90
107770,Mon, 23 Nov 2009 20:07:20 +0000,Alexey Sidorenko,Unknown,Male,62,1
107877,Wed, 16 Dec 2009 02:28:52 +0000,Alexey Sidorenko,Neutral,Male,905,35
107912,Tue, 24 Nov 2009 05:12:52 +0000,Vadim Isakov,Unknown,Male,86,1
107929,Thu, 26 Nov 2009 02:52:36 +0000,Alexey Sidorenko,Unknown,Male,68,1
108001,Wed, 25 Nov 2009 06:21:18 +0000,Gregory Asmolov,Neutral,Male,1272,35
10813,Wed, 24 May 2006 22:30:38 +0000,Veronica Khokhlova,Male,Female,54,1
10815,Wed, 24 May 2006 22:27:23 +0000,Veronica Khokhlova,Male,Female,34,1
10817,Wed, 24 May 2006 22:31:32 +0000,Veronica Khokhlova,Neutral,Female,163,1
10819,Wed, 24 May 2006 22:31:19 +0000,Veronica Khokhlova,Male,Female,118,1
10825,Wed, 24 May 2006 22:29:36 +0000,Veronica Khokhlova,Unknown,Female,117,1
10826,Wed, 24 May 2006 22:31:03 +0000,Veronica Khokhlova,Unknown,Female,71,1
108267,Thu, 26 Nov 2009 00:20:28 +0000,Andrei Skvarsky,Neutral,Male,1111,71
10827,Wed, 24 May 2006 22:27:03 +0000,Veronica Khokhlova,Unknown,Female,16,1
10828,Wed, 24 May 2006 22:30:15 +0000,Veronica Khokhlova,Neutral,Female,100,1
10829,Wed, 24 May 2006 22:26:35 +0000,Veronica Khokhlova,Male,Female,36,1
108445,Thu, 26 Nov 2009 13:54:39 +0000,Alexey Sidorenko,Unknown,Male,45,1
108458,Fri, 27 Nov 2009 01:02:15 +0000,Alexey Sidorenko,Neutral,Male,744,36
108539,Fri, 27 Nov 2009 04:01:49 +0000,Vadim Isakov,Unknown,Male,24,1
108574,Fri, 27 Nov 2009 21:42:22 +0000,Alexey Sidorenko,Unknown,Male,42,1
10864,Thu, 25 May 2006 18:56:51 +0000,Veronica Khokhlova,Unknown,Female,47,1
10867,Thu, 25 May 2006 18:56:37 +0000,Veronica Khokhlova,Male,Female,37,1
