id,pubdate,byline,gender_by_pronoun,gender_by_byline
104427,Tue, 03 Nov 2009 01:44:39 +0000,Veronica Khokhlova,Unknown,Female
104430,Tue, 03 Nov 2009 01:48:07 +0000,Veronica Khokhlova,Unknown,Female
104433,Tue, 03 Nov 2009 01:51:27 +0000,Veronica Khokhlova,Unknown,Female
104440,Tue, 03 Nov 2009 02:01:11 +0000,Veronica Khokhlova,Unknown,Female
104444,Tue, 03 Nov 2009 02:19:19 +0000,Veronica Khokhlova,Unknown,Female
10448,Tue, 16 May 2006 20:33:25 +0000,Veronica Khokhlova,Male,Female
10449,Tue, 16 May 2006 20:36:52 +0000,Veronica Khokhlova,Neutral,Female
104496,Tue, 03 Nov 2009 09:10:25 +0000,Veronica Khokhlova,Unknown,Female
104498,Tue, 03 Nov 2009 09:18:25 +0000,Veronica Khokhlova,Unknown,Female
1045,Mon, 08 Aug 2005 19:48:47 +0000,Paul Frankenstein,Unknown,Male
10450,Tue, 16 May 2006 20:29:56 +0000,Veronica Khokhlova,Unknown,Female
10451,Tue, 16 May 2006 20:32:56 +0000,Veronica Khokhlova,Unknown,Female
10452,Tue, 16 May 2006 20:28:35 +0000,Veronica Khokhlova,Unknown,Female
10453,Tue, 16 May 2006 20:29:03 +0000,Veronica Khokhlova,Male,Female
10454,Tue, 16 May 2006 20:31:39 +0000,Veronica Khokhlova,Unknown,Female
10455,Tue, 16 May 2006 20:32:13 +0000,Veronica Khokhlova,Unknown,Female
10459,Tue, 16 May 2006 20:30:26 +0000,Veronica Khokhlova,Unknown,Female
10461,Tue, 16 May 2006 20:27:53 +0000,Veronica Khokhlova,Male,Female
104611,Wed, 04 Nov 2009 01:03:19 +0000,Alexey Sidorenko,Male,Male
104648,Wed, 04 Nov 2009 02:26:05 +0000,Veronica Khokhlova,Unknown,Female
104681,Fri, 06 Nov 2009 20:35:32 +0000,Alexey Sidorenko,Neutral,Male
1047,Mon, 08 Aug 2005 20:18:02 +0000,Paul Frankenstein,Female,Male
104943,Thu, 05 Nov 2009 23:22:10 +0000,Veronica Khokhlova,Unknown,Female
104945,Thu, 05 Nov 2009 23:27:43 +0000,Veronica Khokhlova,Unknown,Female
104947,Thu, 05 Nov 2009 23:42:17 +0000,Veronica Khokhlova,Unknown,Female
104949,Thu, 05 Nov 2009 23:46:30 +0000,Veronica Khokhlova,Unknown,Female
104951,Thu, 05 Nov 2009 23:50:23 +0000,Veronica Khokhlova,Unknown,Female
104953,Fri, 06 Nov 2009 00:02:05 +0000,Veronica Khokhlova,Unknown,Female
104955,Fri, 06 Nov 2009 00:22:42 +0000,Veronica Khokhlova,Unknown,Female
104957,Fri, 06 Nov 2009 00:28:08 +0000,Veronica Khokhlova,Neutral,Female
104959,Fri, 06 Nov 2009 00:30:57 +0000,Veronica Khokhlova,Unknown,Female
104962,Fri, 06 Nov 2009 00:36:03 +0000,Veronica Khokhlova,Unknown,Female
104966,Fri, 06 Nov 2009 00:43:03 +0000,Veronica Khokhlova,Unknown,Female
104969,Fri, 06 Nov 2009 00:46:15 +0000,Veronica Khokhlova,Unknown,Female
104971,Fri, 06 Nov 2009 00:49:54 +0000,Veronica Khokhlova,Unknown,Female
104973,Fri, 06 Nov 2009 00:57:52 +0000,Veronica Khokhlova,Unknown,Female
104975,Fri, 06 Nov 2009 01:10:54 +0000,Veronica Khokhlova,Unknown,Female
105155,Sat, 07 Nov 2009 00:32:03 +0000,Veronica Khokhlova,Unknown,Female
10517,Wed, 17 May 2006 21:02:03 +0000,Veronica Khokhlova,Male,Female
10525,Wed, 17 May 2006 21:02:53 +0000,Veronica Khokhlova,Unknown,Female
105284,Tue, 10 Nov 2009 03:55:05 +0000,Veronica Khokhlova,Neutral,Female
10529,Wed, 17 May 2006 21:03:08 +0000,Veronica Khokhlova,Male,Female
10531,Wed, 17 May 2006 21:01:51 +0000,Veronica Khokhlova,Unknown,Female
10533,Wed, 17 May 2006 21:01:28 +0000,Veronica Khokhlova,Neutral,Female
105398,Mon, 09 Nov 2009 22:59:49 +0000,Alexey Sidorenko,Neutral,Male
105443,Mon, 09 Nov 2009 15:30:49 +0000,David Sasaki,Neutral,Male
10545,Thu, 18 May 2006 08:38:54 +0000,Veronica Khokhlova,Male,Female
105453,Tue, 10 Nov 2009 04:32:53 +0000,M L,Male,Unknown
10546,Thu, 18 May 2006 08:38:27 +0000,Veronica Khokhlova,Female,Female
10547,Thu, 18 May 2006 08:41:03 +0000,Veronica Khokhlova,Male,Female
10548,Thu, 18 May 2006 08:40:05 +0000,Veronica Khokhlova,Unknown,Female
10549,Thu, 18 May 2006 08:41:14 +0000,Veronica Khokhlova,Unknown,Female
10550,Thu, 18 May 2006 08:39:04 +0000,Veronica Khokhlova,Unknown,Female
105602,Tue, 10 Nov 2009 16:52:00 +0000,Alexey Sidorenko,Unknown,Male
105605,Fri, 20 Nov 2009 22:35:00 +0000,Alexey Sidorenko,Neutral,Male
105702,Thu, 12 Nov 2009 03:40:24 +0000,Alexey Sidorenko,Unknown,Male
105779,Wed, 11 Nov 2009 16:32:50 +0000,Alexey Sidorenko,Unknown,Male
10599,Fri, 19 May 2006 23:53:51 +0000,Veronica Khokhlova,Neutral,Female
106010,Wed, 30 Nov -0001 00:00:00 +0000,Alexey Sidorenko,Neutral,Male
106016,Fri, 13 Nov 2009 00:50:59 +0000,M L,Neutral,Unknown
1061,Tue, 09 Aug 2005 18:56:12 +0000,Paul Frankenstein,Unknown,Male
10626,Fri, 19 May 2006 22:04:43 +0000,Veronica Khokhlova,Unknown,Female
10627,Fri, 19 May 2006 22:07:49 +0000,Veronica Khokhlova,Unknown,Female
10628,Fri, 19 May 2006 22:04:17 +0000,Veronica Khokhlova,Unknown,Female
10629,Fri, 19 May 2006 22:06:55 +0000,Veronica Khokhlova,Male,Female
10630,Fri, 19 May 2006 22:02:40 +0000,Veronica Khokhlova,Unknown,Female
10631,Fri, 19 May 2006 22:05:22 +0000,Veronica Khokhlova,Unknown,Female
10633,Fri, 19 May 2006 22:07:13 +0000,Veronica Khokhlova,Neutral,Female
10634,Fri, 19 May 2006 22:07:29 +0000,Veronica Khokhlova,Male,Female
10635,Fri, 19 May 2006 22:05:02 +0000,Veronica Khokhlova,Unknown,Female
106403,Sun, 15 Nov 2009 00:54:09 +0000,Veronica Khokhlova,Unknown,Female
10653,Sun, 21 May 2006 08:02:59 +0000,Veronica Khokhlova,Male,Female
106543,Wed, 18 Nov 2009 00:56:19 +0000,Jakub Górnicki,Neutral,Male
106550,Mon, 16 Nov 2009 00:45:52 +0000,Veronica Khokhlova,Unknown,Female
106552,Mon, 16 Nov 2009 00:54:16 +0000,Veronica Khokhlova,Unknown,Female
106554,Mon, 16 Nov 2009 01:04:09 +0000,Veronica Khokhlova,Unknown,Female
106558,Mon, 16 Nov 2009 01:57:39 +0000,Veronica Khokhlova,Unknown,Female
106573,Mon, 16 Nov 2009 02:04:30 +0000,Veronica Khokhlova,Unknown,Female
106577,Mon, 16 Nov 2009 02:26:56 +0000,Veronica Khokhlova,Unknown,Female
106584,Mon, 16 Nov 2009 02:57:31 +0000,Veronica Khokhlova,Neutral,Female
106586,Mon, 16 Nov 2009 03:02:23 +0000,Veronica Khokhlova,Unknown,Female
106742,Tue, 17 Nov 2009 00:57:09 +0000,Veronica Khokhlova,Unknown,Female
106744,Tue, 17 Nov 2009 01:01:06 +0000,Veronica Khokhlova,Unknown,Female
106746,Tue, 17 Nov 2009 01:08:52 +0000,Veronica Khokhlova,Neutral,Female
106749,Tue, 17 Nov 2009 01:35:30 +0000,Veronica Khokhlova,Unknown,Female
106753,Tue, 17 Nov 2009 01:47:03 +0000,Veronica Khokhlova,Unknown,Female
106758,Tue, 17 Nov 2009 02:06:22 +0000,Veronica Khokhlova,Unknown,Female
1068,Tue, 09 Aug 2005 20:04:21 +0000,Paul Frankenstein,Unknown,Male
106936,Wed, 18 Nov 2009 02:22:34 +0000,Sinisa Boljanovic,Neutral,Male
10706,Mon, 22 May 2006 23:26:24 +0000,Veronica Khokhlova,Neutral,Female
107079,Wed, 18 Nov 2009 16:43:06 +0000,Alexey Sidorenko,Unknown,Male
10708,Mon, 22 May 2006 21:20:17 +0000,Veronica Khokhlova,Unknown,Female
10709,Mon, 22 May 2006 21:19:17 +0000,Veronica Khokhlova,Unknown,Female
10710,Mon, 22 May 2006 21:20:28 +0000,Veronica Khokhlova,Unknown,Female
10711,Mon, 22 May 2006 21:20:40 +0000,Veronica Khokhlova,Male,Female
10713,Mon, 22 May 2006 21:20:03 +0000,Veronica Khokhlova,Unknown,Female
10714,Mon, 22 May 2006 21:19:37 +0000,Veronica Khokhlova,Male,Female
107143,Fri, 20 Nov 2009 03:44:51 +0000,Veronica Khokhlova,Neutral,Female
107154,Fri, 20 Nov 2009 04:33:32 +0000,Alexey Sidorenko,Unknown,Male
107160,Thu, 19 Nov 2009 10:15:37 +0000,David Sasaki,Unknown,Male
107217,Thu, 19 Nov 2009 23:48:08 +0000,Jakub Górnicki,Neutral,Male
107387,Fri, 20 Nov 2009 23:14:47 +0000,Sylwia Presley,Neutral,Female
107398,Fri, 20 Nov 2009 13:17:52 +0000,David Sasaki,Neutral,Male
107439,Sat, 21 Nov 2009 00:45:31 +0000,Sylwia Presley,Neutral,Female
107576,Sun, 22 Nov 2009 02:32:57 +0000,Vadim Isakov,Unknown,Male
10759,Tue, 23 May 2006 22:45:21 +0000,Veronica Khokhlova,Unknown,Female
10760,Tue, 23 May 2006 22:46:03 +0000,Veronica Khokhlova,Unknown,Female
10761,Tue, 23 May 2006 22:45:44 +0000,Veronica Khokhlova,Unknown,Female
10762,Tue, 23 May 2006 22:45:00 +0000,Veronica Khokhlova,Unknown,Female
10763,Tue, 23 May 2006 22:43:14 +0000,Veronica Khokhlova,Neutral,Female
10764,Tue, 23 May 2006 22:46:42 +0000,Veronica Khokhlova,Male,Female
10765,Tue, 23 May 2006 22:44:42 +0000,Veronica Khokhlova,Unknown,Female
10766,Wed, 24 May 2006 00:35:40 +0000,Veronica Khokhlova,Neutral,Female
107708,Mon, 23 Nov 2009 23:22:28 +0000,Filip Stojanovski,Unknown,Male
107735,Tue, 24 Nov 2009 09:47:03 +0000,Tibor Blazko,Unknown,Male
107770,Mon, 23 Nov 2009 20:07:20 +0000,Alexey Sidorenko,Unknown,Male
107877,Wed, 16 Dec 2009 02:28:52 +0000,Alexey Sidorenko,Neutral,Male
107912,Tue, 24 Nov 2009 05:12:52 +0000,Vadim Isakov,Unknown,Male
107929,Thu, 26 Nov 2009 02:52:36 +0000,Alexey Sidorenko,Unknown,Male
108001,Wed, 25 Nov 2009 06:21:18 +0000,Gregory Asmolov,Neutral,Male
10813,Wed, 24 May 2006 22:30:38 +0000,Veronica Khokhlova,Male,Female
10815,Wed, 24 May 2006 22:27:23 +0000,Veronica Khokhlova,Male,Female
10817,Wed, 24 May 2006 22:31:32 +0000,Veronica Khokhlova,Neutral,Female
10819,Wed, 24 May 2006 22:31:19 +0000,Veronica Khokhlova,Male,Female
10825,Wed, 24 May 2006 22:29:36 +0000,Veronica Khokhlova,Unknown,Female
10826,Wed, 24 May 2006 22:31:03 +0000,Veronica Khokhlova,Unknown,Female
108267,Thu, 26 Nov 2009 00:20:28 +0000,Andrei Skvarsky,Neutral,Male
10827,Wed, 24 May 2006 22:27:03 +0000,Veronica Khokhlova,Unknown,Female
10828,Wed, 24 May 2006 22:30:15 +0000,Veronica Khokhlova,Neutral,Female
10829,Wed, 24 May 2006 22:26:35 +0000,Veronica Khokhlova,Male,Female
108445,Thu, 26 Nov 2009 13:54:39 +0000,Alexey Sidorenko,Unknown,Male
108458,Fri, 27 Nov 2009 01:02:15 +0000,Alexey Sidorenko,Neutral,Male
108539,Fri, 27 Nov 2009 04:01:49 +0000,Vadim Isakov,Unknown,Male
108574,Fri, 27 Nov 2009 21:42:22 +0000,Alexey Sidorenko,Unknown,Male
10864,Thu, 25 May 2006 18:56:51 +0000,Veronica Khokhlova,Unknown,Female
10867,Thu, 25 May 2006 18:56:37 +0000,Veronica Khokhlova,Male,Female
108677,Sun, 29 Nov 2009 01:27:47 +0000,Gregory Asmolov,Unknown,Male
1087,Wed, 10 Aug 2005 17:35:34 +0000,Paul Frankenstein,Unknown,Male
10870,Thu, 25 May 2006 18:57:00 +0000,Veronica Khokhlova,Unknown,Female
10872,Thu, 25 May 2006 18:56:22 +0000,Veronica Khokhlova,Male,Female
10874,Thu, 25 May 2006 18:57:09 +0000,Veronica Khokhlova,Unknown,Female
108770,Sat, 28 Nov 2009 05:19:43 +0000,Veronica Khokhlova,Neutral,Female
108821,Sun, 29 Nov 2009 00:51:54 +0000,M L,Neutral,Unknown
10886,Thu, 25 May 2006 20:49:16 +0000,Veronica Khokhlova,Male,Female
108878,Sun, 29 Nov 2009 05:47:42 +0000,Gregory Asmolov,Neutral,Male
10888,Thu, 25 May 2006 21:41:31 +0000,Veronica Khokhlova,Unknown,Female
10889,Thu, 25 May 2006 21:49:45 +0000,Veronica Khokhlova,Unknown,Female
10890,Thu, 25 May 2006 21:56:17 +0000,Veronica Khokhlova,Unknown,Female
108952,Wed, 02 Dec 2009 02:51:34 +0000,Alexey Sidorenko,Unknown,Male
108957,Fri, 11 Dec 2009 04:59:56 +0000,Alexey Sidorenko,Unknown,Male
108959,Wed, 30 Nov -0001 00:00:00 +0000,Alexey Sidorenko,Male,Male
109005,Sun, 29 Nov 2009 22:09:14 +0000,Alexey Sidorenko,Unknown,Male
109058,Mon, 30 Nov 2009 07:38:08 +0000,Juliana Rincón Parra,Neutral,Female
10917,Fri, 26 May 2006 18:18:41 +0000,Veronica Khokhlova,Male,Female
10918,Fri, 26 May 2006 18:20:50 +0000,Veronica Khokhlova,Unknown,Female
10932,Fri, 26 May 2006 18:21:15 +0000,Veronica Khokhlova,Unknown,Female
10933,Fri, 26 May 2006 18:20:27 +0000,Veronica Khokhlova,Male,Female
109372,Wed, 02 Dec 2009 01:19:04 +0000,Veronica Khokhlova,Unknown,Female
109386,Wed, 02 Dec 2009 01:56:34 +0000,Veronica Khokhlova,Unknown,Female
109388,Wed, 02 Dec 2009 02:02:21 +0000,Veronica Khokhlova,Unknown,Female
10946,Fri, 26 May 2006 18:21:34 +0000,Veronica Khokhlova,Female,Female
109477,Wed, 02 Dec 2009 20:47:28 +0000,Alexey Sidorenko,Unknown,Male
