name,likely_byline_gender
Razan Ghazzawi,Female
Chris Salzberg,Male
Rashmi Sinha,Female
Juliana Rotich,Female
Yasmine Abu Khazneh,Female
Elia Varela Serra,Female
Nash Suleiman,Female
Mahmood Al-Yousif,Male
Ayman Haykal,Male
Adam Klempner,Male
Marisa Duma,Female
Juhie Bhatia,Female
Fabienne Flessel,Female
Kevin Rennie,Male
Elena Ignatova,Female
Eunice del Rosario,Female
SudaneseDrima,Male
Karlo Mikhail Mongaya,Male
Adil Nurmakov,Male
Mong Palatino,Male
Rami Abdelrahman,Male
Salam Pax,Male
Ismail Dhorat,Male
Amer Al-Hilal,Male
Jad Madi,Male
Nathan Hamm,Male
Gaurav Mishra,Male
Michael Castro,Male
Laura Vidal,Female
Angelo Embuldeniya,Male
Tomomi Sasaki,Female
M L,Unknown
Artur Papyan,Male
Njeri Wangari,Female
