id,pubdate,byline,gender_by_pronoun,gender_by_byline,wc,pc
1022,Sun, 07 Aug 2005 12:12:57 +0000,Haitham Sabbah,Unknown,Male,26,1
10221,Thu, 11 May 2006 09:12:32 +0000,Fred Petrossian,Unknown,Male,52,1
102216,Tue, 20 Oct 2009 20:12:34 +0000,Fred Petrossian,Unknown,Male,23,1
102223,Tue, 20 Oct 2009 20:20:23 +0000,Amira Al Hussaini,Neutral,Female,674,86
1023,Sun, 07 Aug 2005 12:43:46 +0000,Haitham Sabbah,Male,Male,59,1
10244,Thu, 11 May 2006 19:00:19 +0000,Fred Petrossian,Unknown,Male,41,1
102445,Thu, 22 Oct 2009 04:42:03 +0000,Amira Al Hussaini,Unknown,Female,20,1
102448,Thu, 22 Oct 2009 04:42:57 +0000,Amira Al Hussaini,Male,Female,15,2
102450,Thu, 22 Oct 2009 04:43:53 +0000,Amira Al Hussaini,Female,Female,29,1
102452,Thu, 22 Oct 2009 04:44:59 +0000,Amira Al Hussaini,Female,Female,40,1
102454,Thu, 22 Oct 2009 04:46:08 +0000,Amira Al Hussaini,Neutral,Female,53,4
102462,Thu, 22 Oct 2009 04:47:29 +0000,Amira Al Hussaini,Male,Female,32,2
10275,Fri, 12 May 2006 08:13:37 +0000,Fred Petrossian,Unknown,Male,54,1
10279,Fri, 12 May 2006 10:10:01 +0000,Fred Petrossian,Neutral,Male,78,1
102832,Sat, 24 Oct 2009 18:45:03 +0000,Anas Qtiesh,Unknown,Male,47,1
102838,Sun, 25 Oct 2009 20:33:38 +0000,Jillian C. York,Neutral,Female,731,36
102839,Mon, 26 Oct 2009 20:09:30 +0000,Anas Qtiesh,Neutral,Male,416,17
102877,Sat, 24 Oct 2009 18:53:16 +0000,Amira Al Hussaini,Unknown,Female,13,1
102881,Sat, 24 Oct 2009 18:54:52 +0000,Amira Al Hussaini,Unknown,Female,34,1
102900,Sat, 24 Oct 2009 23:00:46 +0000,Fred Petrossian,Unknown,Male,21,1
102902,Sat, 24 Oct 2009 23:11:51 +0000,Fred Petrossian,Unknown,Male,35,1
10291,Fri, 12 May 2006 11:55:53 +0000,Alice Backer,Unknown,Female,16,1
102911,Sun, 25 Oct 2009 06:04:02 +0000,Amira Al Hussaini,Neutral,Female,53,3
102913,Sun, 25 Oct 2009 06:05:26 +0000,Amira Al Hussaini,Unknown,Female,34,1
102915,Sun, 25 Oct 2009 06:06:31 +0000,Amira Al Hussaini,Unknown,Female,22,1
102917,Sun, 25 Oct 2009 06:07:43 +0000,Amira Al Hussaini,Unknown,Female,19,2
102919,Sun, 25 Oct 2009 06:08:33 +0000,Amira Al Hussaini,Female,Female,19,2
102981,Sun, 25 Oct 2009 15:12:36 +0000,Antoun Issa,Neutral,Male,761,33
103014,Tue, 27 Oct 2009 11:07:30 +0000,Ayesha Saldanha,Female,Female,35,1
10302,Fri, 12 May 2006 20:05:03 +0000,Haitham Sabbah,Male,Male,56,1
103024,Sun, 25 Oct 2009 19:51:18 +0000,Jillian C. York,Male,Female,21,1
103027,Sun, 25 Oct 2009 20:46:23 +0000,Onnik Krikorian,Unknown,Male,53,1
10304,Fri, 12 May 2006 20:05:13 +0000,Haitham Sabbah,Unknown,Male,76,1
103045,Mon, 26 Oct 2009 05:03:58 +0000,Amira Al Hussaini,Unknown,Female,47,1
103047,Mon, 26 Oct 2009 05:05:58 +0000,Amira Al Hussaini,Unknown,Female,10,1
103049,Mon, 26 Oct 2009 05:08:03 +0000,Amira Al Hussaini,Unknown,Female,18,1
103051,Mon, 26 Oct 2009 05:15:05 +0000,Amira Al Hussaini,Unknown,Female,42,1
103053,Mon, 26 Oct 2009 05:20:50 +0000,Amira Al Hussaini,Female,Female,26,1
103055,Mon, 26 Oct 2009 09:24:35 +0000,Amira Al Hussaini,Female,Female,39,1
10306,Fri, 12 May 2006 20:05:21 +0000,Haitham Sabbah,Male,Male,46,1
10307,Fri, 12 May 2006 19:50:41 +0000,Elijah Zarwan,Neutral,Male,1046,39
10308,Fri, 12 May 2006 20:03:06 +0000,Haitham Sabbah,Unknown,Male,65,1
10312,Fri, 12 May 2006 20:05:31 +0000,Haitham Sabbah,Unknown,Male,58,1
103130,Wed, 23 Dec 2009 06:09:22 +0000,Maya Norton,Unknown,Female,20,1
103159,Wed, 23 Dec 2009 06:10:44 +0000,Maya Norton,Unknown,Female,31,1
103161,Mon, 26 Oct 2009 20:32:59 +0000,Lina Ben Mhenni,Neutral,Female,913,35
103162,Wed, 23 Dec 2009 06:11:28 +0000,Maya Norton,Unknown,Female,51,1
103166,Mon, 26 Oct 2009 19:46:12 +0000,Ayesha Saldanha,Male,Female,433,17
10334,Sat, 13 May 2006 18:02:04 +0000,Salam Adil,Neutral,Male,1689,54
103380,Tue, 27 Oct 2009 10:46:26 +0000,Ayesha Saldanha,Unknown,Female,10,1
103384,Tue, 27 Oct 2009 10:55:01 +0000,Ayesha Saldanha,Unknown,Female,12,1
10345,Sun, 14 May 2006 16:34:52 +0000,Fred Petrossian,Male,Male,54,2
103517,Tue, 27 Oct 2009 20:23:43 +0000,Amira Al Hussaini,Unknown,Female,10,1
10352,Mon, 15 May 2006 07:00:14 +0000,Salam Adil,Unknown,Male,15,1
103520,Tue, 27 Oct 2009 20:51:24 +0000,Jillian C. York,Unknown,Female,16,1
103529,Tue, 27 Oct 2009 21:11:07 +0000,Ayesha Saldanha,Male,Female,37,1
10355,Mon, 15 May 2006 06:31:27 +0000,Fred Petrossian,Neutral,Male,51,2
10358,Mon, 15 May 2006 09:22:43 +0000,Naseem Tarawnah,Neutral,Male,1044,47
103674,Thu, 29 Oct 2009 05:39:21 +0000,Marwa Rakha,Neutral,Female,470,24
10373,Tue, 16 May 2006 18:41:44 +0000,Fred Petrossian,Male,Male,1380,65
103760,Thu, 29 Oct 2009 06:32:17 +0000,Amira Al Hussaini,Unknown,Female,20,1
103762,Thu, 29 Oct 2009 06:35:12 +0000,Amira Al Hussaini,Female,Female,34,1
103770,Wed, 30 Nov -0001 00:00:00 +0000,Lina Ben Mhenni,Neutral,Female,701,91
103865,Fri, 30 Oct 2009 07:37:48 +0000,Marwa Rakha,Unknown,Female,53,1
103978,Sun, 01 Nov 2009 07:24:11 +0000,Tarek Amr,Neutral,Male,978,50
103992,Sun, 01 Nov 2009 19:22:50 +0000,Yazan Badran,Unknown,Male,47,1
103993,Sun, 01 Nov 2009 19:23:22 +0000,Yazan Badran,Unknown,Male,19,1
103996,Sun, 01 Nov 2009 19:22:25 +0000,Yazan Badran,Neutral,Male,390,9
104011,Mon, 02 Nov 2009 20:49:28 +0000,Eman AbdElRahman,Unknown,Female,371,18
104014,Mon, 02 Nov 2009 20:01:35 +0000,Eman AbdElRahman,Female,Female,29,1
104198,Mon, 02 Nov 2009 12:35:50 +0000,Mohammad Azraq,Unknown,Male,204,8
10428,Tue, 16 May 2006 07:07:52 +0000,Salam Adil,Male,Male,41,1
104307,Tue, 03 Nov 2009 12:20:54 +0000,Jillian C. York,Neutral,Female,544,15
10431,Tue, 16 May 2006 19:01:31 +0000,Fred Petrossian,Unknown,Male,32,1
104321,Mon, 02 Nov 2009 22:06:09 +0000,Fred Petrossian,Male,Male,246,13
104442,Tue, 03 Nov 2009 02:16:29 +0000,Veronica Khokhlova,Unknown,Female,14,1
104519,Tue, 03 Nov 2009 12:28:12 +0000,Jillian C. York,Male,Female,25,1
104664,Wed, 04 Nov 2009 09:18:17 +0000,Fred Petrossian,Unknown,Male,47,1
104666,Wed, 04 Nov 2009 09:20:37 +0000,Fred Petrossian,Unknown,Male,13,1
104669,Wed, 04 Nov 2009 09:23:44 +0000,Fred Petrossian,Unknown,Male,19,1
104672,Wed, 04 Nov 2009 10:59:13 +0000,Fred Petrossian,Unknown,Male,14,1
104674,Wed, 04 Nov 2009 11:07:00 +0000,Fred Petrossian,Male,Male,26,1
104676,Wed, 04 Nov 2009 11:08:59 +0000,Fred Petrossian,Unknown,Male,11,1
104690,Wed, 04 Nov 2009 13:03:09 +0000,Fred Petrossian,Unknown,Male,20,1
104738,Wed, 04 Nov 2009 19:49:46 +0000,Jillian C. York,Neutral,Female,670,25
104751,Thu, 05 Nov 2009 14:27:13 +0000,Hisham Almiraat,Neutral,Male,855,26
104825,Mon, 09 Nov 2009 13:10:21 +0000,Lova Rakotomalala,Neutral,Male,1193,41
104828,Thu, 05 Nov 2009 14:31:16 +0000,Anas Qtiesh,Male,Male,36,1
104873,Sat, 07 Nov 2009 15:40:43 +0000,Tarek Amr,Male,Male,29,1
104927,Thu, 05 Nov 2009 19:23:19 +0000,Fred Petrossian,Unknown,Male,131,17
10506,Wed, 17 May 2006 18:24:42 +0000,Haitham Sabbah,Unknown,Male,21,1
10507,Wed, 17 May 2006 18:24:47 +0000,Haitham Sabbah,Unknown,Male,17,1
10509,Wed, 17 May 2006 18:24:53 +0000,Haitham Sabbah,Unknown,Male,47,1
10510,Wed, 17 May 2006 18:24:59 +0000,Haitham Sabbah,Unknown,Male,24,1
105106,Fri, 06 Nov 2009 22:42:44 +0000,Juliana Rincón Parra,Unknown,Female,566,27
10511,Wed, 17 May 2006 19:55:39 +0000,Fred Petrossian,Male,Male,69,1
105117,Fri, 06 Nov 2009 19:49:10 +0000,Hisham Almiraat,Unknown,Male,48,1
10516,Wed, 17 May 2006 19:57:05 +0000,Fred Petrossian,Neutral,Male,47,1
105161,Sat, 07 Nov 2009 06:04:20 +0000,Amira Al Hussaini,Neutral,Female,53,1
105208,Sat, 07 Nov 2009 20:10:11 +0000,Amira Al Hussaini,Unknown,Female,21,1
105210,Sat, 07 Nov 2009 20:11:12 +0000,Amira Al Hussaini,Unknown,Female,45,1
105212,Sat, 07 Nov 2009 20:12:08 +0000,Amira Al Hussaini,Unknown,Female,29,1
105214,Sat, 07 Nov 2009 23:12:20 +0000,Amira Al Hussaini,Unknown,Female,49,2
105216,Sat, 07 Nov 2009 22:13:22 +0000,Amira Al Hussaini,Unknown,Female,22,2
105218,Sat, 07 Nov 2009 20:15:24 +0000,Amira Al Hussaini,Female,Female,23,2
105220,Sat, 07 Nov 2009 21:15:34 +0000,Amira Al Hussaini,Male,Female,31,1
105223,Sat, 07 Nov 2009 20:45:13 +0000,Amira Al Hussaini,Neutral,Female,613,62
105328,Sun, 08 Nov 2009 19:38:26 +0000,Ayesha Saldanha,Neutral,Female,1531,37
10534,Thu, 18 May 2006 01:17:57 +0000,Deborah Ann Dilley,Neutral,Female,522,18
105381,Mon, 09 Nov 2009 05:34:33 +0000,Amira Al Hussaini,Unknown,Female,27,1
105384,Mon, 09 Nov 2009 06:06:20 +0000,Amira Al Hussaini,Unknown,Female,27,1
105386,Mon, 09 Nov 2009 06:07:36 +0000,Amira Al Hussaini,Unknown,Female,18,2
105388,Mon, 09 Nov 2009 06:14:36 +0000,Amira Al Hussaini,Unknown,Female,13,1
105452,Wed, 11 Nov 2009 22:16:08 +0000,Ayesha Saldanha,Neutral,Female,1394,40
105458,Tue, 10 Nov 2009 05:23:30 +0000,Katharine Ganly,Unknown,Female,54,1
105585,Tue, 10 Nov 2009 10:44:13 +0000,Shabina Khatri,Neutral,Female,1005,64
10560,Thu, 18 May 2006 13:40:10 +0000,Alice Backer,Unknown,Female,145,1
10567,Thu, 18 May 2006 17:58:10 +0000,Fred Petrossian,Neutral,Male,48,1
10569,Fri, 19 May 2006 09:34:32 +0000,Fred Petrossian,Unknown,Male,44,1
105721,Wed, 11 Nov 2009 05:56:00 +0000,Jennifer Brea,Unknown,Female,20,1
105731,Fri, 13 Nov 2009 12:16:56 +0000,Shabina Khatri,Neutral,Female,1176,38
105775,Wed, 11 Nov 2009 19:30:20 +0000,Antoun Issa,Neutral,Male,1276,54
105858,Thu, 12 Nov 2009 22:28:46 +0000,Hisham Almiraat,Neutral,Male,1098,50
10588,Fri, 19 May 2006 09:35:24 +0000,Fred Petrossian,Male,Male,50,1
10605,Fri, 19 May 2006 14:11:28 +0000,Alice Backer,Neutral,Female,84,1
10615,Mon, 22 May 2006 13:29:45 +0000,Fred Petrossian,Neutral,Male,39,1
10616,Fri, 19 May 2006 17:29:00 +0000,Haitham Sabbah,Neutral,Male,1391,103
106181,Fri, 13 Nov 2009 12:11:15 +0000,Marwa Rakha,Neutral,Female,1019,50
106190,Fri, 13 Nov 2009 17:40:27 +0000,Marwa Rakha,Female,Female,308,12
106193,Sat, 14 Nov 2009 09:03:58 +0000,Marwa Rakha,Neutral,Female,695,26
106216,Fri, 13 Nov 2009 17:35:44 +0000,Jillian C. York,Neutral,Female,469,12
106283,Sat, 14 Nov 2009 04:14:05 +0000,Katharine Ganly,Unknown,Female,18,1
106316,Sat, 14 Nov 2009 07:49:04 +0000,Marwa Rakha,Neutral,Female,774,88
106321,Sat, 14 Nov 2009 08:40:26 +0000,Amira Al Hussaini,Neutral,Female,47,1
106328,Sun, 15 Nov 2009 08:01:10 +0000,Tarek Amr,Neutral,Male,880,33
106340,Wed, 18 Nov 2009 05:08:23 +0000,Ayesha Saldanha,Neutral,Female,1783,81
106343,Mon, 23 Nov 2009 08:42:48 +0000,Tarek Amr,Neutral,Male,1390,113
10638,Sat, 20 May 2006 15:46:46 +0000,Salam Adil,Neutral,Male,1976,99
106499,Sun, 15 Nov 2009 21:19:24 +0000,Jillian C. York,Neutral,Female,217,22
10651,Mon, 22 May 2006 13:32:48 +0000,Fred Petrossian,Unknown,Male,40,2
10657,Mon, 29 May 2006 06:48:35 +0000,Mohamed Marwen Meddah,Neutral,Male,531,19
10658,Mon, 22 May 2006 21:15:21 +0000,Yazan Badran,Neutral,Male,820,55
106588,Mon, 16 Nov 2009 16:20:36 +0000,Fred Petrossian,Neutral,Male,174,18
10660,Mon, 22 May 2006 01:39:59 +0000,Deborah Ann Dilley,Unknown,Female,455,14
10678,Mon, 22 May 2006 13:23:17 +0000,Fred Petrossian,Neutral,Male,66,1
10682,Tue, 23 May 2006 12:10:28 +0000,Obi,Neutral,Female,931,30
106884,Tue, 17 Nov 2009 18:34:20 +0000,Amira Al Hussaini,Male,Female,13,1
106886,Tue, 17 Nov 2009 18:35:59 +0000,Amira Al Hussaini,Unknown,Female,12,2
106923,Wed, 18 Nov 2009 19:53:50 +0000,Jillian C. York,Female,Female,661,14
106924,Wed, 18 Nov 2009 06:53:25 +0000,Anas Qtiesh,Male,Male,44,1
106929,Fri, 20 Nov 2009 14:07:30 +0000,Hisham Almiraat,Neutral,Male,1068,40
107140,Thu, 19 Nov 2009 05:50:40 +0000,Jillian C. York,Neutral,Female,270,26
10720,Mon, 22 May 2006 22:05:08 +0000,Haitham Sabbah,Unknown,Male,54,1
10722,Mon, 22 May 2006 22:04:59 +0000,Haitham Sabbah,Unknown,Male,30,1
10724,Mon, 22 May 2006 22:04:43 +0000,Haitham Sabbah,Unknown,Male,12,1
10734,Tue, 23 May 2006 15:49:27 +0000,Fred Petrossian,Male,Male,55,1
10741,Tue, 23 May 2006 21:02:57 +0000,Fred Petrossian,Neutral,Male,1429,73
107438,Fri, 20 Nov 2009 16:15:46 +0000,Ayesha Saldanha,Unknown,Female,29,1
107490,Fri, 20 Nov 2009 20:06:28 +0000,Jillian C. York,Unknown,Female,22,1
10751,Tue, 23 May 2006 18:43:55 +0000,Melissa De León,Neutral,Female,1134,12
10752,Tue, 23 May 2006 19:08:29 +0000,Haitham Sabbah,Neutral,Male,757,49
107530,Wed, 25 Nov 2009 22:35:52 +0000,Amira Al Hussaini,Neutral,Female,1708,66
107541,Sat, 21 Nov 2009 19:11:25 +0000,Tarek Amr,Neutral,Male,2482,104
107567,Sat, 21 Nov 2009 19:25:18 +0000,Amira Al Hussaini,Male,Female,55,1
107569,Sat, 21 Nov 2009 19:26:13 +0000,Amira Al Hussaini,Unknown,Female,18,1
107571,Sat, 21 Nov 2009 19:27:26 +0000,Amira Al Hussaini,Unknown,Female,15,1
107573,Sat, 21 Nov 2009 19:28:29 +0000,Amira Al Hussaini,Unknown,Female,57,1
107642,Sun, 22 Nov 2009 19:29:18 +0000,Jillian C. York,Female,Female,853,27
107651,Sun, 22 Nov 2009 19:43:08 +0000,Amira Al Hussaini,Female,Female,17,1
107653,Sun, 22 Nov 2009 19:45:17 +0000,Amira Al Hussaini,Unknown,Female,24,2
107655,Sun, 22 Nov 2009 19:50:47 +0000,Amira Al Hussaini,Unknown,Female,21,1
107657,Sun, 22 Nov 2009 19:53:29 +0000,Amira Al Hussaini,Unknown,Female,25,2
107660,Mon, 23 Nov 2009 09:31:14 +0000,Marwa Rakha,Neutral,Female,1998,74
107685,Mon, 23 Nov 2009 08:00:11 +0000,Shabina Khatri,Neutral,Female,530,43
1077,Wed, 10 Aug 2005 10:55:39 +0000,Haitham Sabbah,Unknown,Male,45,1
107763,Tue, 24 Nov 2009 16:55:09 +0000,Marwa Rakha,Neutral,Female,542,21
107787,Tue, 24 Nov 2009 18:54:40 +0000,Marwa Rakha,Neutral,Female,245,13
1078,Wed, 10 Aug 2005 11:17:13 +0000,Haitham Sabbah,Unknown,Male,18,1
1079,Wed, 10 Aug 2005 11:50:44 +0000,Haitham Sabbah,Unknown,Male,63,1
10796,Wed, 24 May 2006 16:11:43 +0000,John Kennedy,Unknown,Male,40,1
10799,Wed, 24 May 2006 17:00:26 +0000,Fred Petrossian,Male,Male,58,1
1080,Wed, 10 Aug 2005 12:32:21 +0000,Haitham Sabbah,Male,Male,25,1
10802,Wed, 24 May 2006 17:20:08 +0000,Fred Petrossian,Male,Male,45,1
108042,Sun, 10 Apr 2011 12:41:53 +0000,Asteris Masouras,Neutral,Male,2432,184
10807,Wed, 24 May 2006 18:31:01 +0000,Haitham Sabbah,Unknown,Male,23,1
10808,Wed, 24 May 2006 18:30:42 +0000,Haitham Sabbah,Unknown,Male,20,1
10809,Wed, 24 May 2006 18:30:27 +0000,Haitham Sabbah,Unknown,Male,20,1
1081,Wed, 10 Aug 2005 12:51:12 +0000,Haitham Sabbah,Neutral,Male,36,1
10810,Wed, 24 May 2006 18:27:00 +0000,Haitham Sabbah,Neutral,Male,75,1
108228,Wed, 25 Nov 2009 21:36:54 +0000,Amira Al Hussaini,Unknown,Female,18,1
108230,Wed, 25 Nov 2009 21:38:28 +0000,Amira Al Hussaini,Unknown,Female,15,2
108232,Wed, 25 Nov 2009 21:39:18 +0000,Amira Al Hussaini,Unknown,Female,34,1
108238,Wed, 25 Nov 2009 21:46:47 +0000,Amira Al Hussaini,Unknown,Female,54,1
108241,Wed, 25 Nov 2009 21:48:07 +0000,Amira Al Hussaini,Female,Female,41,2
108243,Wed, 25 Nov 2009 21:49:08 +0000,Amira Al Hussaini,Unknown,Female,11,1
108245,Wed, 25 Nov 2009 21:51:22 +0000,Amira Al Hussaini,Female,Female,27,1
108249,Wed, 25 Nov 2009 21:54:46 +0000,Amira Al Hussaini,Male,Female,12,1
108251,Wed, 25 Nov 2009 22:00:32 +0000,Amira Al Hussaini,Unknown,Female,53,1
108253,Wed, 25 Nov 2009 22:04:05 +0000,Amira Al Hussaini,Unknown,Female,37,2
108256,Wed, 25 Nov 2009 22:07:33 +0000,Amira Al Hussaini,Unknown,Female,13,2
108259,Wed, 25 Nov 2009 22:11:02 +0000,Amira Al Hussaini,Male,Female,9,1
10830,Wed, 24 May 2006 23:36:39 +0000,Deborah Ann Dilley,Neutral,Female,623,28
10845,Fri, 26 May 2006 08:24:00 +0000,Salam Adil,Neutral,Male,2357,79
108475,Thu, 03 Dec 2009 19:29:34 +0000,Suzanne Lehn,Neutral,Female,669,29
108552,Sat, 28 Nov 2009 09:33:05 +0000,Marwa Rakha,Neutral,Female,2447,43
108631,Sat, 28 Nov 2009 09:08:27 +0000,Katharine Ganly,Unknown,Female,29,1
10869,Fri, 26 May 2006 08:20:42 +0000,Fred Petrossian,Unknown,Male,79,1
108828,Wed, 30 Nov -0001 00:00:00 +0000,Raphael Tsavkko Garcia,Unknown,Male,0,0
1089,Wed, 10 Aug 2005 17:47:54 +0000,Haitham Sabbah,Female,Male,38,1
108978,Sun, 29 Nov 2009 16:50:29 +0000,Amira Al Hussaini,Unknown,Female,23,1
